---
source: "AlAs. Data source: Dissertation, Vassil Palankovski (k data below 300K is GaAs data multiplied by room temp ratios)"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
5.1510680e+01	8.1251450e+05	1.4321050e+03
5.2150120e+01	8.1711200e+05	1.3978060e+03
5.2797500e+01	8.2167500e+05	1.3641740e+03
5.3452920e+01	8.2621080e+05	1.3311930e+03
5.4116480e+01	8.3072790e+05	1.2988740e+03
5.4788270e+01	8.3523520e+05	1.2672270e+03
5.5468400e+01	8.3974250e+05	1.2362600e+03
5.6156970e+01	8.4426030e+05	1.2059810e+03
5.6854100e+01	8.4880000e+05	1.1763970e+03
5.7559870e+01	8.5337400e+05	1.1475150e+03
5.8274410e+01	8.5799540e+05	1.1193380e+03
5.8997820e+01	8.6267850e+05	1.0918710e+03
5.9730200e+01	8.6743840e+05	1.0651150e+03
6.0471680e+01	8.7228870e+05	1.0390730e+03
6.1222370e+01	8.7723970e+05	1.0137430e+03
6.1982370e+01	8.8230210e+05	9.8912280e+02
6.2751810e+01	8.8748740e+05	9.6520960e+02
6.3530800e+01	8.9280770e+05	9.4199740e+02
6.4319460e+01	8.9827600e+05	9.1947870e+02
6.5117900e+01	9.0390610e+05	8.9764410e+02
6.5926270e+01	9.0971250e+05	8.7648190e+02
6.6744660e+01	9.1571060e+05	8.5597800e+02
6.7573220e+01	9.2191680e+05	8.3611590e+02
6.8412060e+01	9.2834850e+05	8.1687660e+02
6.9261310e+01	9.3501770e+05	7.9823820e+02
7.0121110e+01	9.4192000e+05	7.8017590e+02
7.0991580e+01	9.4904720e+05	7.6266180e+02
7.1872860e+01	9.5639070e+05	7.4566450e+02
7.2765070e+01	9.6394040e+05	7.2914940e+02
7.3668360e+01	9.7168540e+05	7.1307800e+02
7.4582870e+01	9.7961390e+05	6.9740790e+02
7.5508730e+01	9.8771250e+05	6.8209270e+02
7.6446080e+01	9.9596700e+05	6.6708380e+02
7.7395060e+01	1.0043620e+06	6.5236120e+02
7.8355830e+01	1.0128800e+06	6.3792600e+02
7.9328530e+01	1.0215020e+06	6.2377930e+02
8.0313290e+01	1.0302100e+06	6.0992180e+02
8.1310290e+01	1.0389810e+06	5.9635330e+02
8.2319660e+01	1.0477920e+06	5.8307310e+02
8.3341560e+01	1.0566190e+06	5.7007990e+02
8.4376150e+01	1.0654350e+06	5.5737140e+02
8.5423580e+01	1.0742100e+06	5.4494460e+02
8.6484010e+01	1.0829150e+06	5.3279550e+02
8.7557600e+01	1.0915170e+06	5.2091950e+02
8.8644530e+01	1.0999800e+06	5.0931070e+02
8.9744940e+01	1.1082670e+06	4.9796220e+02
9.0859020e+01	1.1163380e+06	4.8686620e+02
9.1986930e+01	1.1241520e+06	4.7601340e+02
9.3128830e+01	1.1316760e+06	4.6539560e+02
9.4284920e+01	1.1389170e+06	4.5501320e+02
9.5455350e+01	1.1458860e+06	4.4486840e+02
9.6640320e+01	1.1525970e+06	4.3496350e+02
9.7839990e+01	1.1590640e+06	4.2530010e+02
9.9054560e+01	1.1653040e+06	4.1587960e+02
1.0028420e+02	1.1713340e+06	4.0670280e+02
1.0152910e+02	1.1771760e+06	3.9777030e+02
1.0278950e+02	1.1828510e+06	3.8908200e+02
1.0406550e+02	1.1883830e+06	3.8063720e+02
1.0535730e+02	1.1937990e+06	3.7243480e+02
1.0666520e+02	1.1991260e+06	3.6447300e+02
1.0798930e+02	1.2043970e+06	3.5674940e+02
1.0932990e+02	1.2096430e+06	3.4926100e+02
1.1068710e+02	1.2149010e+06	3.4200370e+02
1.1206110e+02	1.2202110e+06	3.3497320e+02
1.1345230e+02	1.2256140e+06	3.2816370e+02
1.1486060e+02	1.2311550e+06	3.2156910e+02
1.1628650e+02	1.2368820e+06	3.1518200e+02
1.1773000e+02	1.2428480e+06	3.0899410e+02
1.1919150e+02	1.2491070e+06	3.0299620e+02
1.2067110e+02	1.2557150e+06	2.9717760e+02
1.2216910e+02	1.2626750e+06	2.9152690e+02
1.2368570e+02	1.2699370e+06	2.8603110e+02
1.2522110e+02	1.2774480e+06	2.8067590e+02
1.2677560e+02	1.2851490e+06	2.7544580e+02
1.2834940e+02	1.2929760e+06	2.7032410e+02
1.2994270e+02	1.3008610e+06	2.6530250e+02
