---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
2.7500000e+02	1.8994719e+06	3.6000000e+02	4.1925600e+02
2.7600000e+02	1.9094580e+06	3.5869565e+02	4.1773695e+02
2.7700000e+02	1.9193830e+06	3.5740072e+02	4.1622888e+02
2.7800000e+02	1.9292473e+06	3.5611511e+02	4.1473166e+02
2.7900000e+02	1.9390516e+06	3.5483871e+02	4.1324516e+02
2.8000000e+02	1.9487964e+06	3.5357143e+02	4.1176929e+02
2.8100000e+02	1.9584822e+06	3.5231317e+02	4.1030392e+02
2.8200000e+02	1.9681095e+06	3.5106383e+02	4.0884894e+02
2.8300000e+02	1.9776788e+06	3.4982332e+02	4.0740424e+02
2.8400000e+02	1.9871906e+06	3.4859155e+02	4.0596972e+02
2.8500000e+02	1.9966455e+06	3.4736842e+02	4.0454526e+02
2.8600000e+02	2.0060439e+06	3.4615385e+02	4.0313077e+02
2.8700000e+02	2.0153863e+06	3.4494774e+02	4.0172614e+02
2.8800000e+02	2.0246733e+06	3.4375000e+02	4.0033125e+02
2.8900000e+02	2.0339052e+06	3.4256055e+02	3.9894602e+02
2.9000000e+02	2.0430825e+06	3.4137931e+02	3.9757034e+02
2.9100000e+02	2.0522058e+06	3.4020619e+02	3.9620413e+02
2.9200000e+02	2.0612755e+06	3.3904110e+02	3.9484727e+02
2.9300000e+02	2.0702920e+06	3.3788396e+02	3.9349966e+02
2.9400000e+02	2.0792558e+06	3.3673469e+02	3.9216122e+02
2.9500000e+02	2.0881674e+06	3.3559322e+02	3.9083186e+02
2.9600000e+02	2.0970272e+06	3.3445946e+02	3.8951149e+02
2.9700000e+02	2.1058356e+06	3.3333333e+02	3.8820000e+02
2.9800000e+02	2.1145930e+06	3.3221477e+02	3.8689732e+02
2.9900000e+02	2.1233000e+06	3.3110368e+02	3.8560335e+02
3.0000000e+02	2.1319568e+06	3.3000000e+02	3.8431800e+02
3.0100000e+02	2.1405640e+06	3.2890365e+02	3.8304119e+02
3.0200000e+02	2.1491220e+06	3.2781457e+02	3.8177285e+02
3.0300000e+02	2.1576311e+06	3.2673267e+02	3.8051287e+02
3.0400000e+02	2.1660918e+06	3.2565789e+02	3.7926118e+02
3.0500000e+02	2.1745044e+06	3.2459016e+02	3.7801770e+02
3.0600000e+02	2.1828695e+06	3.2352941e+02	3.7678235e+02
3.0700000e+02	2.1911873e+06	3.2247557e+02	3.7555505e+02
