---
source: "GaN Data source: C is from heat capacity of 4H-SiC, k was"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	Sz (W/mK)	Sr (W/mK)
5.6700000e+02	3.4300706e+06	1.7460317e+02	2.0334285e+02
5.6800000e+02	3.4327945e+06	1.7429577e+02	2.0298485e+02
5.6900000e+02	3.4355093e+06	1.7398946e+02	2.0262813e+02
5.7000000e+02	3.4382153e+06	1.7368421e+02	2.0227263e+02
5.7100000e+02	3.4409123e+06	1.7338004e+02	2.0191839e+02
5.7200000e+02	3.4436006e+06	1.7307692e+02	2.0156538e+02
5.7300000e+02	3.4462800e+06	1.7277487e+02	2.0121361e+02
5.7400000e+02	3.4489507e+06	1.7247387e+02	2.0086307e+02
5.7500000e+02	3.4516127e+06	1.7217391e+02	2.0051374e+02
5.7600000e+02	3.4542661e+06	1.7187500e+02	2.0016563e+02
5.7700000e+02	3.4569108e+06	1.7157712e+02	1.9981871e+02
5.7800000e+02	3.4595470e+06	1.7128028e+02	1.9947301e+02
5.7900000e+02	3.4621746e+06	1.7098446e+02	1.9912850e+02
5.8000000e+02	3.4647937e+06	1.7068966e+02	1.9878518e+02
5.8100000e+02	3.4674044e+06	1.7039587e+02	1.9844303e+02
5.8200000e+02	3.4700066e+06	1.7010309e+02	1.9810206e+02
5.8300000e+02	3.4726005e+06	1.6981132e+02	1.9776226e+02
5.8400000e+02	3.4751861e+06	1.6952055e+02	1.9742363e+02
5.8500000e+02	3.4777633e+06	1.6923077e+02	1.9708615e+02
5.8600000e+02	3.4803323e+06	1.6894198e+02	1.9674983e+02
5.8700000e+02	3.4828931e+06	1.6865417e+02	1.9641465e+02
5.8800000e+02	3.4854458e+06	1.6836735e+02	1.9608062e+02
5.8900000e+02	3.4879903e+06	1.6808149e+02	1.9574770e+02
5.9000000e+02	3.4905267e+06	1.6779661e+02	1.9541593e+02
5.9100000e+02	3.4930550e+06	1.6751269e+02	1.9508528e+02
5.9200000e+02	3.4955753e+06	1.6722973e+02	1.9475574e+02
5.9300000e+02	3.4980877e+06	1.6694772e+02	1.9442731e+02
5.9400000e+02	3.5005921e+06	1.6666667e+02	1.9410000e+02
5.9500000e+02	3.5030886e+06	1.6638655e+02	1.9377378e+02
5.9600000e+02	3.5055772e+06	1.6610738e+02	1.9344865e+02
5.9700000e+02	3.5080580e+06	1.6582915e+02	1.9312463e+02
5.9800000e+02	3.5105310e+06	1.6555184e+02	1.9280167e+02
5.9900000e+02	3.5129962e+06	1.6527546e+02	1.9247980e+02
6.0000000e+02	3.5154537e+06	1.6500000e+02	1.9215900e+02
6.0100000e+02	3.5179035e+06	1.6472546e+02	1.9183927e+02
6.0200000e+02	3.5203457e+06	1.6445183e+02	1.9152060e+02
6.0300000e+02	3.5227803e+06	1.6417910e+02	1.9120298e+02
6.0400000e+02	3.5252073e+06	1.6390728e+02	1.9088642e+02
6.0500000e+02	3.5276267e+06	1.6363636e+02	1.9057090e+02
6.0600000e+02	3.5300386e+06	1.6336634e+02	1.9025644e+02
6.0700000e+02	3.5324431e+06	1.6309720e+02	1.8994300e+02
6.0800000e+02	3.5348401e+06	1.6282895e+02	1.8963060e+02
6.0900000e+02	3.5372297e+06	1.6256158e+02	1.8931922e+02
6.1000000e+02	3.5396120e+06	1.6229508e+02	1.8900885e+02
6.1100000e+02	3.5419869e+06	1.6202946e+02	1.8869951e+02
6.1200000e+02	3.5443545e+06	1.6176471e+02	1.8839118e+02
6.1300000e+02	3.5467148e+06	1.6150082e+02	1.8808385e+02
6.1400000e+02	3.5490679e+06	1.6123779e+02	1.8777753e+02
6.1500000e+02	3.5514138e+06	1.6097561e+02	1.8747220e+02
6.1600000e+02	3.5537525e+06	1.6071429e+02	1.8716786e+02
6.1700000e+02	3.5560841e+06	1.6045381e+02	1.8686451e+02
6.1800000e+02	3.5584086e+06	1.6019417e+02	1.8656213e+02
6.1900000e+02	3.5607260e+06	1.5993538e+02	1.8626074e+02
6.2000000e+02	3.5630363e+06	1.5967742e+02	1.8596032e+02
6.2100000e+02	3.5653397e+06	1.5942029e+02	1.8566087e+02
6.2200000e+02	3.5676360e+06	1.5916399e+02	1.8536238e+02
6.2300000e+02	3.5699255e+06	1.5890851e+02	1.8506485e+02
6.2400000e+02	3.5722080e+06	1.5865385e+02	1.8476827e+02
6.2500000e+02	3.5744836e+06	1.5840000e+02	1.8447264e+02
6.2600000e+02	3.5767524e+06	1.5814696e+02	1.8417795e+02
6.2700000e+02	3.5790143e+06	1.5789474e+02	1.8388421e+02
6.2800000e+02	3.5812695e+06	1.5764331e+02	1.8359140e+02
6.2900000e+02	3.5835179e+06	1.5739269e+02	1.8329953e+02
6.3000000e+02	3.5857596e+06	1.5714286e+02	1.8300857e+02
6.3100000e+02	3.5879946e+06	1.5689382e+02	1.8271854e+02
6.3200000e+02	3.5902229e+06	1.5664557e+02	1.8242943e+02
6.3300000e+02	3.5924445e+06	1.5639810e+02	1.8214123e+02
6.3400000e+02	3.5946596e+06	1.5615142e+02	1.8185394e+02
6.3500000e+02	3.5968680e+06	1.5590551e+02	1.8156756e+02
6.3600000e+02	3.5990700e+06	1.5566038e+02	1.8128208e+02
6.3700000e+02	3.6012653e+06	1.5541601e+02	1.8099749e+02
6.3800000e+02	3.6034542e+06	1.5517241e+02	1.8071379e+02
6.3900000e+02	3.6056367e+06	1.5492958e+02	1.8043099e+02
6.4000000e+02	3.6078127e+06	1.5468750e+02	1.8014906e+02
6.4100000e+02	3.6099822e+06	1.5444618e+02	1.7986802e+02
6.4200000e+02	3.6121455e+06	1.5420561e+02	1.7958785e+02
6.4300000e+02	3.6143023e+06	1.5396579e+02	1.7930856e+02
6.4400000e+02	3.6164528e+06	1.5372671e+02	1.7903013e+02
6.4500000e+02	3.6185971e+06	1.5348837e+02	1.7875256e+02
6.4600000e+02	3.6207350e+06	1.5325077e+02	1.7847585e+02
6.4700000e+02	3.6228667e+06	1.5301391e+02	1.7820000e+02
6.4800000e+02	3.6249922e+06	1.5277778e+02	1.7792500e+02
6.4900000e+02	3.6271115e+06	1.5254237e+02	1.7765084e+02
6.5000000e+02	3.6292247e+06	1.5230769e+02	1.7737754e+02
6.5100000e+02	3.6313317e+06	1.5207373e+02	1.7710507e+02
6.5200000e+02	3.6334326e+06	1.5184049e+02	1.7683343e+02
6.5300000e+02	3.6355274e+06	1.5160796e+02	1.7656263e+02
6.5400000e+02	3.6376162e+06	1.5137615e+02	1.7629266e+02
6.5500000e+02	3.6396989e+06	1.5114504e+02	1.7602351e+02
6.5600000e+02	3.6417757e+06	1.5091463e+02	1.7575518e+02
6.5700000e+02	3.6438464e+06	1.5068493e+02	1.7548767e+02
6.5800000e+02	3.6459112e+06	1.5045593e+02	1.7522098e+02
6.5900000e+02	3.6479701e+06	1.5022762e+02	1.7495509e+02
6.6000000e+02	3.6500231e+06	1.5000000e+02	1.7469000e+02
6.6100000e+02	3.6520702e+06	1.4977307e+02	1.7442572e+02
6.6200000e+02	3.6541114e+06	1.4954683e+02	1.7416224e+02
6.6300000e+02	3.6561469e+06	1.4932127e+02	1.7389955e+02
6.6400000e+02	3.6581765e+06	1.4909639e+02	1.7363766e+02
6.6500000e+02	3.6602004e+06	1.4887218e+02	1.7337654e+02
6.6600000e+02	3.6622185e+06	1.4864865e+02	1.7311622e+02
6.6700000e+02	3.6642308e+06	1.4842579e+02	1.7285668e+02
6.6800000e+02	3.6662375e+06	1.4820359e+02	1.7259790e+02
6.6900000e+02	3.6682385e+06	1.4798206e+02	1.7233991e+02
6.7000000e+02	3.6702338e+06	1.4776119e+02	1.7208268e+02
6.7100000e+02	3.6722235e+06	1.4754098e+02	1.7182623e+02
6.7200000e+02	3.6742076e+06	1.4732143e+02	1.7157054e+02
6.7300000e+02	3.6761861e+06	1.4710253e+02	1.7131561e+02
6.7400000e+02	3.6781591e+06	1.4688427e+02	1.7106142e+02
6.7500000e+02	3.6801265e+06	1.4666667e+02	1.7080800e+02
6.7600000e+02	3.6820884e+06	1.4644970e+02	1.7055532e+02
6.7700000e+02	3.6840448e+06	1.4623338e+02	1.7030339e+02
6.7800000e+02	3.6859958e+06	1.4601770e+02	1.7005221e+02
6.7900000e+02	3.6879413e+06	1.4580265e+02	1.6980177e+02
6.8000000e+02	3.6898813e+06	1.4558824e+02	1.6955206e+02
6.8100000e+02	3.6918160e+06	1.4537445e+02	1.6930308e+02
6.8200000e+02	3.6937453e+06	1.4516129e+02	1.6905484e+02
6.8300000e+02	3.6956693e+06	1.4494876e+02	1.6880733e+02
6.8400000e+02	3.6975879e+06	1.4473684e+02	1.6856052e+02
6.8500000e+02	3.6995012e+06	1.4452555e+02	1.6831446e+02
6.8600000e+02	3.7014092e+06	1.4431487e+02	1.6806910e+02
6.8700000e+02	3.7033120e+06	1.4410480e+02	1.6782445e+02
6.8800000e+02	3.7052095e+06	1.4389535e+02	1.6758052e+02
6.8900000e+02	3.7071017e+06	1.4368650e+02	1.6733730e+02
6.9000000e+02	3.7089888e+06	1.4347826e+02	1.6709478e+02
6.9100000e+02	3.7108707e+06	1.4327062e+02	1.6685296e+02
6.9200000e+02	3.7127475e+06	1.4306358e+02	1.6661185e+02
6.9300000e+02	3.7146191e+06	1.4285714e+02	1.6637143e+02
6.9400000e+02	3.7164855e+06	1.4265130e+02	1.6613170e+02
6.9500000e+02	3.7183469e+06	1.4244604e+02	1.6589266e+02
6.9600000e+02	3.7202032e+06	1.4224138e+02	1.6565431e+02
6.9700000e+02	3.7220545e+06	1.4203730e+02	1.6541664e+02
6.9800000e+02	3.7239007e+06	1.4183381e+02	1.6517966e+02
6.9900000e+02	3.7257419e+06	1.4163090e+02	1.6494335e+02
7.0000000e+02	3.7275782e+06	1.4142857e+02	1.6470771e+02
