---
source: "GaAs. Source: Blakemore, J. Appl. Phys. 53(10). October 1982"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
3.4309110e+01	2.6909840e+05	2.0584740e+03
3.5046980e+01	2.7925860e+05	1.9780540e+03
3.5800710e+01	2.8967070e+05	1.8997760e+03
3.6570660e+01	3.0033160e+05	1.8236610e+03
3.7357160e+01	3.1123250e+05	1.7497150e+03
3.8160580e+01	3.2236230e+05	1.6779300e+03
3.8981270e+01	3.3370820e+05	1.6082820e+03
3.9819620e+01	3.4525490e+05	1.5407770e+03
4.0675990e+01	3.5698690e+05	1.4755320e+03
4.1550790e+01	3.6890160e+05	1.4126830e+03
4.2444400e+01	3.8100330e+05	1.3523700e+03
4.3357220e+01	3.9329660e+05	1.2947080e+03
4.4289680e+01	4.0578660e+05	1.2397010e+03
4.5242190e+01	4.1847870e+05	1.1873050e+03
4.6215180e+01	4.3137360e+05	1.1374470e+03
4.7209110e+01	4.4446200e+05	1.0900320e+03
4.8224400e+01	4.5773180e+05	1.0449340e+03
4.9261540e+01	4.7116920e+05	1.0019950e+03
5.0320970e+01	4.8475850e+05	9.6102330e+02
5.1403190e+01	4.9849830e+05	9.2178460e+02
5.2508690e+01	5.1241530e+05	8.8400450e+02
5.3637960e+01	5.2654270e+05	8.4748280e+02
5.4791520e+01	5.4091770e+05	8.1222830e+02
5.5969890e+01	5.5558240e+05	7.7827080e+02
5.7173600e+01	5.7058400e+05	7.4563510e+02
5.8403200e+01	5.8597500e+05	7.1434020e+02
5.9659240e+01	6.0181410e+05	6.8439890e+02
6.0942290e+01	6.1815890e+05	6.5581630e+02
6.2252940e+01	6.3499870e+05	6.2858950e+02
6.3591780e+01	6.5227840e+05	6.0270610e+02
6.4959400e+01	6.6993400e+05	5.7814320e+02
6.6356450e+01	6.8789160e+05	5.5486640e+02
6.7783530e+01	7.0606660e+05	5.3282820e+02
6.9241310e+01	7.2436320e+05	5.1196660e+02
7.0730440e+01	7.4267620e+05	4.9220360e+02
7.2251600e+01	7.6097600e+05	4.7344370e+02
7.3805470e+01	7.7932440e+05	4.5557160e+02
7.5392760e+01	7.9779700e+05	4.3845060e+02
7.7014180e+01	8.1648030e+05	4.2193200e+02
7.8670480e+01	8.3547240e+05	4.0596090e+02
8.0362400e+01	8.5488400e+05	3.9054020e+02
8.2090700e+01	8.7476140e+05	3.7567050e+02
8.3856180e+01	8.9498150e+05	3.6134840e+02
8.5659620e+01	9.1538030e+05	3.4756620e+02
8.7501850e+01	9.3577200e+05	3.3431160e+02
8.9383690e+01	9.5594670e+05	3.2156670e+02
9.1306010e+01	9.7569060e+05	3.0930800e+02
9.3269680e+01	9.9502450e+05	2.9750720e+02
9.5275570e+01	1.0141430e+06	2.8615580e+02
9.7324600e+01	1.0332730e+06	2.7526110e+02
9.9417700e+01	1.0526730e+06	2.6482830e+02
1.0155580e+02	1.0725980e+06	2.5486060e+02
1.0373990e+02	1.0929560e+06	2.4535830e+02
1.0597100e+02	1.1134280e+06	2.3631860e+02
1.0825000e+02	1.1336480e+06	2.2773560e+02
1.1057810e+02	1.1532050e+06	2.1959930e+02
1.1295620e+02	1.1718870e+06	2.1189560e+02
1.1538550e+02	1.1899560e+06	2.0460570e+02
1.1786700e+02	1.2077770e+06	1.9770560e+02
1.2040190e+02	1.2257660e+06	1.9116550e+02
1.2299130e+02	1.2441850e+06	1.8494910e+02
1.2563640e+02	1.2627800e+06	1.7901320e+02
1.2833840e+02	1.2811790e+06	1.7330710e+02
1.3109850e+02	1.2989670e+06	1.6779500e+02
1.3391800e+02	1.3160030e+06	1.6247650e+02
1.3679810e+02	1.3325820e+06	1.5735420e+02
1.3974010e+02	1.3490690e+06	1.5242960e+02
1.4274540e+02	1.3657720e+06	1.4770290e+02
1.4581530e+02	1.3824370e+06	1.4317340e+02
1.4895130e+02	1.3985750e+06	1.3883850e+02
1.5215470e+02	1.4136840e+06	1.3469420e+02
1.5542700e+02	1.4277970e+06	1.3073470e+02
1.5876970e+02	1.4413500e+06	1.2695200e+02
1.6218420e+02	1.4548060e+06	1.2333590e+02
1.6567220e+02	1.4681270e+06	1.1987390e+02
1.6923530e+02	1.4808660e+06	1.1655050e+02
1.7287490e+02	1.4926470e+06	1.1334720e+02
1.7659280e+02	1.5041580e+06	1.1024230e+02
1.8039070e+02	1.5167130e+06	1.0721120e+02
1.8427020e+02	1.5311170e+06	1.0424390e+02
1.8823320e+02	1.5461820e+06	1.0134420e+02
1.9228140e+02	1.5602570e+06	9.8516340e+01
1.9641670e+02	1.5732360e+06	9.5764770e+01
2.0064090e+02	1.5865520e+06	9.3093830e+01
2.0495600e+02	1.6009230e+06	9.0507890e+01
2.0936380e+02	1.6146080e+06	8.8011320e+01
2.1386650e+02	1.6256660e+06	8.5608420e+01
2.1846600e+02	1.6347610e+06	8.3303450e+01
2.2316440e+02	1.6436600e+06	8.1100590e+01
2.2796390e+02	1.6529300e+06	7.9002750e+01
2.3286650e+02	1.6622580e+06	7.7007820e+01
2.3787470e+02	1.6712760e+06	7.5111490e+01
2.4299050e+02	1.6795850e+06	7.3308200e+01
2.4821630e+02	1.6870800e+06	7.1591030e+01
2.5355460e+02	1.6939250e+06	6.9951560e+01
2.5900760e+02	1.7003210e+06	6.8379700e+01
2.6457790e+02	1.7065700e+06	6.6863540e+01
2.7026800e+02	1.7135240e+06	6.5389140e+01
2.7608050e+02	1.7222090e+06	6.3940360e+01
2.8201800e+02	1.7304400e+06	6.2498620e+01
2.8808320e+02	1.7352510e+06	6.1042710e+01
2.9427880e+02	1.7375510e+06	5.9548490e+01
3.0060770e+02	1.7387710e+06	5.7853470e+01
3.0707270e+02	1.7401520e+06	5.6334970e+01
3.1367670e+02	1.7418930e+06	5.4856330e+01
3.2042280e+02	1.7439850e+06	5.3416490e+01
3.2731390e+02	1.7464150e+06	5.2014450e+01
3.3435320e+02	1.7491670e+06	5.0649210e+01
3.4154400e+02	1.7522210e+06	4.9319800e+01
3.4888930e+02	1.7555530e+06	4.8025280e+01
3.5639270e+02	1.7591350e+06	4.6764750e+01
3.6405740e+02	1.7629330e+06	4.5537290e+01
3.7188700e+02	1.7669090e+06	4.4342060e+01
3.7988490e+02	1.7710160e+06	4.3178200e+01
3.8805490e+02	1.7752050e+06	4.2044880e+01
3.9640050e+02	1.7794160e+06	4.0941320e+01
4.0492570e+02	1.7835840e+06	3.9866710e+01
4.1363410e+02	1.7876850e+06	3.8820320e+01
4.2252990e+02	1.7917280e+06	3.7801390e+01
4.3161700e+02	1.7957260e+06	3.6809200e+01
4.4089950e+02	1.7996950e+06	3.5843060e+01
4.5038170e+02	1.8036530e+06	3.4902270e+01
4.6006780e+02	1.8076210e+06	3.3986180e+01
4.6996210e+02	1.8116220e+06	3.3094130e+01
4.8006930e+02	1.8156830e+06	3.2225500e+01
4.9039390e+02	1.8198360e+06	3.1379660e+01
5.0094050e+02	1.8241150e+06	3.0556030e+01
5.1171390e+02	1.8285490e+06	2.9754010e+01
5.2271900e+02	1.8331400e+06	2.8973050e+01
5.3396080e+02	1.8378830e+06	2.8212580e+01
5.4544440e+02	1.8427730e+06	2.7472080e+01
5.5717490e+02	1.8478030e+06	2.6751010e+01
5.6915770e+02	1.8529650e+06	2.6048860e+01
5.8139830e+02	1.8582480e+06	2.5365150e+01
5.9390200e+02	1.8636420e+06	2.4699380e+01
6.0667470e+02	1.8691340e+06	2.4051090e+01
6.1972210e+02	1.8747180e+06	2.3419810e+01
6.3305010e+02	1.8804020e+06	2.2805100e+01
6.4666470e+02	1.8861900e+06	2.2206530e+01
6.6057210e+02	1.8920910e+06	2.1623660e+01
6.7477860e+02	1.8981120e+06	2.1056100e+01
6.8929070e+02	1.9042620e+06	2.0503430e+01
7.0411480e+02	1.9105490e+06	1.9965270e+01
7.1925780e+02	1.9169820e+06	1.9441240e+01
7.3472640e+02	1.9235610e+06	1.8930950e+01
7.5052770e+02	1.9302860e+06	1.8434070e+01
7.6666890e+02	1.9371580e+06	1.7950220e+01
7.8315710e+02	1.9441760e+06	1.7479070e+01
8.0000000e+02	1.9513390e+06	1.7020290e+01
