---
source: "rBN heat capacity from Excel. Sz/Sr are room-temperature estimates (no T-dependent data)."
notes: "Sz=4 W/mK (cross-plane), Sr=400 W/mK (in-plane) at RT — constant approximation."
---

T (K)	rho_cp (J/m^3K)	Sz (W/mK)	Sr (W/mK)
5.0000000e+01	1.343600e+05	4.0000000e+00	4.0000000e+02
1.0000000e+02	4.607700e+05	4.0000000e+00	4.0000000e+02
1.5000000e+02	8.204600e+05	4.0000000e+00	4.0000000e+02
2.0000000e+02	1.193200e+06	4.0000000e+00	4.0000000e+02
2.5000000e+02	1.560700e+06	4.0000000e+00	4.0000000e+02
3.0000000e+02	1.910600e+06	4.0000000e+00	4.0000000e+02
3.5000000e+02	2.235400e+06	4.0000000e+00	4.0000000e+02
4.0000000e+02	2.530200e+06	4.0000000e+00	4.0000000e+02
4.5000000e+02	2.792900e+06	4.0000000e+00	4.0000000e+02
