---
source: "Converted from Material_new/ xlsx data (Cp only)"
notes: "Only rho_cp data; Sz/Sr set to zero"
---

T (K)	rho_cp (J/m^3K)	Sz (W/mK)	Sr (W/mK)
5.0631136e+02	2.7457600e+06	3.2817150e+00	4.3164326e+02
5.3830299e+02	2.8616300e+06	3.0688603e+00	3.4658789e+02
5.7029461e+02	2.9774900e+06	2.8519301e+00	2.7805796e+02
5.9771601e+02	3.0933600e+06	2.6617066e+00	2.3012275e+02
6.3427786e+02	3.1963500e+06	2.4064360e+00	1.7188997e+02
6.7083972e+02	3.2993400e+06	2.1511654e+00	1.1365718e+02
7.2568251e+02	3.4280800e+06	1.7682594e+00	2.6308001e+01
7.6224437e+02	3.5310800e+06	1.5129888e+00	0.0000000e+00
8.3536808e+02	3.6726900e+06	1.0024476e+00	0.0000000e+00
8.9935134e+02	3.8030400e+06	5.5572397e-01	0.0000000e+00
9.4962389e+02	3.8802800e+06	2.0472691e-01	0.0000000e+00
1.0090369e+03	3.9704000e+06	0.0000000e+00	0.0000000e+00
1.0730202e+03	4.0476500e+06	0.0000000e+00	0.0000000e+00
