---
source: "Gold Data source: thermophysical properties of matter vol.4 curve 1 plus curve2, vol.1"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.6000000e+02	2.3263830e+06	3.2447558e+02
1.6100000e+02	2.3286499e+06	3.2442884e+02
1.6200000e+02	2.3308642e+06	3.2438202e+02
1.6300000e+02	2.3330264e+06	3.2433510e+02
1.6400000e+02	2.3351369e+06	3.2428810e+02
1.6500000e+02	2.3371964e+06	3.2424101e+02
1.6600000e+02	2.3392056e+06	3.2419383e+02
1.6700000e+02	2.3411651e+06	3.2414657e+02
1.6800000e+02	2.3430758e+06	3.2409921e+02
1.6900000e+02	2.3449386e+06	3.2405177e+02
1.7000000e+02	2.3467544e+06	3.2400425e+02
1.7100000e+02	2.3485243e+06	3.2395663e+02
1.7200000e+02	2.3502493e+06	3.2390893e+02
1.7300000e+02	2.3519306e+06	3.2386114e+02
1.7400000e+02	2.3535693e+06	3.2381327e+02
1.7500000e+02	2.3551668e+06	3.2376531e+02
1.7600000e+02	2.3567244e+06	3.2371726e+02
1.7700000e+02	2.3582434e+06	3.2366913e+02
1.7800000e+02	2.3597253e+06	3.2362091e+02
1.7900000e+02	2.3611716e+06	3.2357260e+02
1.8000000e+02	2.3625837e+06	3.2352421e+02
1.8100000e+02	2.3639632e+06	3.2347574e+02
1.8200000e+02	2.3653116e+06	3.2342718e+02
1.8300000e+02	2.3666306e+06	3.2337853e+02
1.8400000e+02	2.3679219e+06	3.2332980e+02
1.8500000e+02	2.3691870e+06	3.2328099e+02
1.8600000e+02	2.3704277e+06	3.2323209e+02
1.8700000e+02	2.3716455e+06	3.2318311e+02
1.8800000e+02	2.3728423e+06	3.2313404e+02
1.8900000e+02	2.3740196e+06	3.2308489e+02
1.9000000e+02	2.3751791e+06	3.2303565e+02
1.9100000e+02	2.3763226e+06	3.2298633e+02
1.9200000e+02	2.3774515e+06	3.2293693e+02
1.9300000e+02	2.3785676e+06	3.2288745e+02
1.9400000e+02	2.3796725e+06	3.2283788e+02
1.9500000e+02	2.3807676e+06	3.2278823e+02
1.9600000e+02	2.3818546e+06	3.2273849e+02
1.9700000e+02	2.3829348e+06	3.2268868e+02
1.9800000e+02	2.3840096e+06	3.2263878e+02
1.9900000e+02	2.3850806e+06	3.2258880e+02
2.0000000e+02	2.3861488e+06	3.2253873e+02
2.0100000e+02	2.3872156e+06	3.2248859e+02
2.0200000e+02	2.3882821e+06	3.2243836e+02
2.0300000e+02	2.3893494e+06	3.2238805e+02
2.0400000e+02	2.3904185e+06	3.2233767e+02
2.0500000e+02	2.3914902e+06	3.2228720e+02
2.0600000e+02	2.3925655e+06	3.2223664e+02
2.0700000e+02	2.3936450e+06	3.2218601e+02
2.0800000e+02	2.3947293e+06	3.2213530e+02
2.0900000e+02	2.3958190e+06	3.2208451e+02
2.1000000e+02	2.3969145e+06	3.2203363e+02
2.1100000e+02	2.3980161e+06	3.2198268e+02
2.1200000e+02	2.3991240e+06	3.2193165e+02
2.1300000e+02	2.4002382e+06	3.2188053e+02
2.1400000e+02	2.4013588e+06	3.2182934e+02
2.1500000e+02	2.4024856e+06	3.2177807e+02
2.1600000e+02	2.4036183e+06	3.2172672e+02
2.1700000e+02	2.4047565e+06	3.2167529e+02
2.1800000e+02	2.4058999e+06	3.2162378e+02
2.1900000e+02	2.4070478e+06	3.2157219e+02
2.2000000e+02	2.4081994e+06	3.2152052e+02
2.2100000e+02	2.4093540e+06	3.2146878e+02
2.2200000e+02	2.4105106e+06	3.2141695e+02
2.2300000e+02	2.4116683e+06	3.2136505e+02
2.2400000e+02	2.4128258e+06	3.2131307e+02
2.2500000e+02	2.4139821e+06	3.2126102e+02
2.2600000e+02	2.4151358e+06	3.2120888e+02
2.2700000e+02	2.4162856e+06	3.2115667e+02
2.2800000e+02	2.4174301e+06	3.2110438e+02
2.2900000e+02	2.4185676e+06	3.2105202e+02
2.3000000e+02	2.4196969e+06	3.2099958e+02
2.3100000e+02	2.4208162e+06	3.2094706e+02
2.3200000e+02	2.4219240e+06	3.2089446e+02
2.3300000e+02	2.4230187e+06	3.2084179e+02
2.3400000e+02	2.4240988e+06	3.2078904e+02
2.3500000e+02	2.4251626e+06	3.2073622e+02
2.3600000e+02	2.4262087e+06	3.2068332e+02
2.3700000e+02	2.4272355e+06	3.2063034e+02
2.3800000e+02	2.4282418e+06	3.2057729e+02
2.3900000e+02	2.4292262e+06	3.2052417e+02
2.4000000e+02	2.4301876e+06	3.2047097e+02
2.4100000e+02	2.4311250e+06	3.2041769e+02
2.4200000e+02	2.4320376e+06	3.2036434e+02
2.4300000e+02	2.4329247e+06	3.2031091e+02
2.4400000e+02	2.4337859e+06	3.2025742e+02
2.4500000e+02	2.4346212e+06	3.2020384e+02
2.4600000e+02	2.4354306e+06	3.2015019e+02
2.4700000e+02	2.4362146e+06	3.2009647e+02
2.4800000e+02	2.4369742e+06	3.2004268e+02
2.4900000e+02	2.4377106e+06	3.1998881e+02
2.5000000e+02	2.4384254e+06	3.1993487e+02
2.5100000e+02	2.4391209e+06	3.1988085e+02
2.5200000e+02	2.4397998e+06	3.1982676e+02
2.5300000e+02	2.4404653e+06	3.1977260e+02
2.5400000e+02	2.4411215e+06	3.1971837e+02
2.5500000e+02	2.4417728e+06	3.1966406e+02
2.5600000e+02	2.4424245e+06	3.1960968e+02
2.5700000e+02	2.4430829e+06	3.1955523e+02
2.5800000e+02	2.4437547e+06	3.1950071e+02
2.5900000e+02	2.4444478e+06	3.1944612e+02
2.6000000e+02	2.4451710e+06	3.1939145e+02
2.6100000e+02	2.4459341e+06	3.1933671e+02
2.6200000e+02	2.4467480e+06	3.1928190e+02
2.6300000e+02	2.4476247e+06	3.1922702e+02
2.6400000e+02	2.4485774e+06	3.1917207e+02
2.6500000e+02	2.4496209e+06	3.1911705e+02
2.6600000e+02	2.4507710e+06	3.1906196e+02
2.6700000e+02	2.4520452e+06	3.1900680e+02
2.6800000e+02	2.4534624e+06	3.1895156e+02
2.6900000e+02	2.4550432e+06	3.1889626e+02
2.7000000e+02	2.4568100e+06	3.1884089e+02
2.7100000e+02	2.4578730e+06	3.1878545e+02
2.7200000e+02	2.4589247e+06	3.1872993e+02
2.7300000e+02	2.4599753e+06	3.1867435e+02
2.7400000e+02	2.4610247e+06	3.1861870e+02
2.7500000e+02	2.4620730e+06	3.1856298e+02
2.7600000e+02	2.4631201e+06	3.1850720e+02
2.7700000e+02	2.4641660e+06	3.1845134e+02
2.7800000e+02	2.4652108e+06	3.1839541e+02
2.7900000e+02	2.4662544e+06	3.1833942e+02
2.8000000e+02	2.4672969e+06	3.1828336e+02
2.8100000e+02	2.4683382e+06	3.1822723e+02
2.8200000e+02	2.4693783e+06	3.1817103e+02
2.8300000e+02	2.4704173e+06	3.1811476e+02
2.8400000e+02	2.4714551e+06	3.1805843e+02
2.8500000e+02	2.4724917e+06	3.1800203e+02
2.8600000e+02	2.4735272e+06	3.1794556e+02
2.8700000e+02	2.4745615e+06	3.1788903e+02
2.8800000e+02	2.4755947e+06	3.1783243e+02
2.8900000e+02	2.4766267e+06	3.1777576e+02
2.9000000e+02	2.4776575e+06	3.1771903e+02
2.9100000e+02	2.4786872e+06	3.1766223e+02
2.9200000e+02	2.4797157e+06	3.1760536e+02
2.9300000e+02	2.4807431e+06	3.1754843e+02
2.9400000e+02	2.4817693e+06	3.1749143e+02
2.9500000e+02	2.4827943e+06	3.1743437e+02
2.9600000e+02	2.4838182e+06	3.1737724e+02
2.9700000e+02	2.4848409e+06	3.1732005e+02
2.9800000e+02	2.4858624e+06	3.1726279e+02
2.9900000e+02	2.4868828e+06	3.1720546e+02
3.0000000e+02	2.4879020e+06	3.1714807e+02
3.0100000e+02	2.4889201e+06	3.1709062e+02
3.0200000e+02	2.4899370e+06	3.1703310e+02
3.0300000e+02	2.4909527e+06	3.1697552e+02
3.0400000e+02	2.4919673e+06	3.1691788e+02
3.0500000e+02	2.4929807e+06	3.1686017e+02
3.0600000e+02	2.4939930e+06	3.1680239e+02
3.0700000e+02	2.4950040e+06	3.1674456e+02
3.0800000e+02	2.4960140e+06	3.1668666e+02
3.0900000e+02	2.4970227e+06	3.1662870e+02
3.1000000e+02	2.4980303e+06	3.1657067e+02
3.1100000e+02	2.4990368e+06	3.1651258e+02
3.1200000e+02	2.5000421e+06	3.1645443e+02
3.1300000e+02	2.5010462e+06	3.1639622e+02
3.1400000e+02	2.5020492e+06	3.1633794e+02
3.1500000e+02	2.5030510e+06	3.1627960e+02
3.1600000e+02	2.5040516e+06	3.1622120e+02
3.1700000e+02	2.5050511e+06	3.1616274e+02
3.1800000e+02	2.5060494e+06	3.1610422e+02
3.1900000e+02	2.5070465e+06	3.1604563e+02
3.2000000e+02	2.5080425e+06	3.1598699e+02
3.2100000e+02	2.5090374e+06	3.1592828e+02
3.2200000e+02	2.5100310e+06	3.1586951e+02
3.2300000e+02	2.5110235e+06	3.1581068e+02
3.2400000e+02	2.5120149e+06	3.1575179e+02
3.2500000e+02	2.5130051e+06	3.1569284e+02
3.2600000e+02	2.5139941e+06	3.1563384e+02
3.2700000e+02	2.5149819e+06	3.1557477e+02
3.2800000e+02	2.5159686e+06	3.1551564e+02
3.2900000e+02	2.5169542e+06	3.1545645e+02
3.3000000e+02	2.5179385e+06	3.1539720e+02
3.3100000e+02	2.5189218e+06	3.1533789e+02
3.3200000e+02	2.5199038e+06	3.1527852e+02
3.3300000e+02	2.5208847e+06	3.1521910e+02
3.3400000e+02	2.5218644e+06	3.1515961e+02
3.3500000e+02	2.5228430e+06	3.1510007e+02
3.3600000e+02	2.5238204e+06	3.1504047e+02
3.3700000e+02	2.5247966e+06	3.1498081e+02
3.3800000e+02	2.5257717e+06	3.1492109e+02
3.3900000e+02	2.5267456e+06	3.1486131e+02
3.4000000e+02	2.5277184e+06	3.1480148e+02
3.4100000e+02	2.5286900e+06	3.1474159e+02
3.4200000e+02	2.5296604e+06	3.1468164e+02
3.4300000e+02	2.5306297e+06	3.1462163e+02
3.4400000e+02	2.5315978e+06	3.1456157e+02
3.4500000e+02	2.5325648e+06	3.1450145e+02
3.4600000e+02	2.5335306e+06	3.1444127e+02
3.4700000e+02	2.5344952e+06	3.1438104e+02
3.4800000e+02	2.5354587e+06	3.1432075e+02
3.4900000e+02	2.5364210e+06	3.1426040e+02
3.5000000e+02	2.5373821e+06	3.1420000e+02
3.5100000e+02	2.5383421e+06	3.1413954e+02
3.5200000e+02	2.5393009e+06	3.1407903e+02
3.5300000e+02	2.5402586e+06	3.1401846e+02
3.5400000e+02	2.5412151e+06	3.1395783e+02
3.5500000e+02	2.5421704e+06	3.1389716e+02
3.5600000e+02	2.5431246e+06	3.1383642e+02
3.5700000e+02	2.5440776e+06	3.1377563e+02
3.5800000e+02	2.5450294e+06	3.1371479e+02
3.5900000e+02	2.5459801e+06	3.1365389e+02
3.6000000e+02	2.5469296e+06	3.1359294e+02
3.6100000e+02	2.5478780e+06	3.1353193e+02
3.6200000e+02	2.5488252e+06	3.1347087e+02
3.6300000e+02	2.5497713e+06	3.1340975e+02
3.6400000e+02	2.5507161e+06	3.1334858e+02
3.6500000e+02	2.5516599e+06	3.1328736e+02
3.6600000e+02	2.5526024e+06	3.1322609e+02
3.6700000e+02	2.5535438e+06	3.1316476e+02
3.6800000e+02	2.5544840e+06	3.1310338e+02
3.6900000e+02	2.5554231e+06	3.1304195e+02
3.7000000e+02	2.5563610e+06	3.1298046e+02
3.7100000e+02	2.5572978e+06	3.1291892e+02
3.7200000e+02	2.5582334e+06	3.1285733e+02
3.7300000e+02	2.5591678e+06	3.1279569e+02
3.7400000e+02	2.5601011e+06	3.1273399e+02
3.7500000e+02	2.5610332e+06	3.1267224e+02
3.7600000e+02	2.5619641e+06	3.1261045e+02
3.7700000e+02	2.5628939e+06	3.1254860e+02
3.7800000e+02	2.5638225e+06	3.1248670e+02
3.7900000e+02	2.5647500e+06	3.1242475e+02
3.8000000e+02	2.5656763e+06	3.1236274e+02
3.8100000e+02	2.5666014e+06	3.1230069e+02
3.8200000e+02	2.5675254e+06	3.1223859e+02
3.8300000e+02	2.5684482e+06	3.1217643e+02
3.8400000e+02	2.5693698e+06	3.1211423e+02
3.8500000e+02	2.5702903e+06	3.1205197e+02
3.8600000e+02	2.5712096e+06	3.1198967e+02
3.8700000e+02	2.5721278e+06	3.1192732e+02
3.8800000e+02	2.5730448e+06	3.1186491e+02
3.8900000e+02	2.5739607e+06	3.1180246e+02
3.9000000e+02	2.5748753e+06	3.1173996e+02
3.9100000e+02	2.5757889e+06	3.1167741e+02
3.9200000e+02	2.5767012e+06	3.1161481e+02
3.9300000e+02	2.5776124e+06	3.1155216e+02
3.9400000e+02	2.5785224e+06	3.1148947e+02
3.9500000e+02	2.5794313e+06	3.1142672e+02
3.9600000e+02	2.5803390e+06	3.1136393e+02
3.9700000e+02	2.5812456e+06	3.1130109e+02
3.9800000e+02	2.5821510e+06	3.1123820e+02
3.9900000e+02	2.5830552e+06	3.1117527e+02
4.0000000e+02	2.5839583e+06	3.1111229e+02
4.0100000e+02	2.5848602e+06	3.1104926e+02
4.0200000e+02	2.5857609e+06	3.1098618e+02
4.0300000e+02	2.5866605e+06	3.1092305e+02
4.0400000e+02	2.5875589e+06	3.1085988e+02
4.0500000e+02	2.5884562e+06	3.1079667e+02
4.0600000e+02	2.5893523e+06	3.1073340e+02
4.0700000e+02	2.5902472e+06	3.1067009e+02
4.0800000e+02	2.5911410e+06	3.1060674e+02
4.0900000e+02	2.5920336e+06	3.1054334e+02
4.1000000e+02	2.5929250e+06	3.1047989e+02
4.1100000e+02	2.5938153e+06	3.1041640e+02
4.1200000e+02	2.5947044e+06	3.1035286e+02
4.1300000e+02	2.5955924e+06	3.1028928e+02
