---
source: "Amorphous SiO2. Data source: thermophysical properties of matter vol.5 curve 6 plus curve5, cahill 3w paper"
author: "Jia"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.6000000e+02	9.7838079e+05	9.4067248e-01
1.6100000e+02	9.8427386e+05	9.4445567e-01
1.6200000e+02	9.9014911e+05	9.4821585e-01
1.6300000e+02	9.9600662e+05	9.5195317e-01
1.6400000e+02	1.0018465e+06	9.5566779e-01
1.6500000e+02	1.0076687e+06	9.5935988e-01
1.6600000e+02	1.0134733e+06	9.6302959e-01
1.6700000e+02	1.0192605e+06	9.6667708e-01
1.6800000e+02	1.0250302e+06	9.7030249e-01
1.6900000e+02	1.0307826e+06	9.7390599e-01
1.7000000e+02	1.0365177e+06	9.7748772e-01
1.7100000e+02	1.0422355e+06	9.8104785e-01
1.7200000e+02	1.0479361e+06	9.8458652e-01
1.7300000e+02	1.0536196e+06	9.8810388e-01
1.7400000e+02	1.0592860e+06	9.9160008e-01
1.7500000e+02	1.0649354e+06	9.9507528e-01
1.7600000e+02	1.0705678e+06	9.9852961e-01
1.7700000e+02	1.0761833e+06	1.0019632e+00
1.7800000e+02	1.0817819e+06	1.0053763e+00
1.7900000e+02	1.0873637e+06	1.0087689e+00
1.8000000e+02	1.0929288e+06	1.0121413e+00
1.8100000e+02	1.0984772e+06	1.0154935e+00
1.8200000e+02	1.1040090e+06	1.0188258e+00
1.8300000e+02	1.1095241e+06	1.0221382e+00
1.8400000e+02	1.1150228e+06	1.0254309e+00
1.8500000e+02	1.1205049e+06	1.0287041e+00
1.8600000e+02	1.1259706e+06	1.0319578e+00
1.8700000e+02	1.1314198e+06	1.0351923e+00
1.8800000e+02	1.1368528e+06	1.0384076e+00
1.8900000e+02	1.1422694e+06	1.0416039e+00
1.9000000e+02	1.1476698e+06	1.0447814e+00
1.9100000e+02	1.1530540e+06	1.0479401e+00
1.9200000e+02	1.1584220e+06	1.0510802e+00
1.9300000e+02	1.1637740e+06	1.0542019e+00
1.9400000e+02	1.1691098e+06	1.0573052e+00
1.9500000e+02	1.1744297e+06	1.0603904e+00
1.9600000e+02	1.1797335e+06	1.0634575e+00
1.9700000e+02	1.1850215e+06	1.0665067e+00
1.9800000e+02	1.1902935e+06	1.0695381e+00
1.9900000e+02	1.1955497e+06	1.0725518e+00
2.0000000e+02	1.2007901e+06	1.0755480e+00
2.0100000e+02	1.2060148e+06	1.0785268e+00
2.0200000e+02	1.2112237e+06	1.0814883e+00
2.0300000e+02	1.2164169e+06	1.0844327e+00
2.0400000e+02	1.2215945e+06	1.0873601e+00
2.0500000e+02	1.2267565e+06	1.0902705e+00
2.0600000e+02	1.2319030e+06	1.0931642e+00
2.0700000e+02	1.2370339e+06	1.0960412e+00
2.0800000e+02	1.2421493e+06	1.0989018e+00
2.0900000e+02	1.2472493e+06	1.1017459e+00
2.1000000e+02	1.2523339e+06	1.1045737e+00
2.1100000e+02	1.2574032e+06	1.1073854e+00
2.1200000e+02	1.2624571e+06	1.1101811e+00
2.1300000e+02	1.2674957e+06	1.1129608e+00
2.1400000e+02	1.2725190e+06	1.1157248e+00
2.1500000e+02	1.2775271e+06	1.1184730e+00
2.1600000e+02	1.2825201e+06	1.1212058e+00
2.1700000e+02	1.2874978e+06	1.1239230e+00
2.1800000e+02	1.2924605e+06	1.1266250e+00
2.1900000e+02	1.2974081e+06	1.1293117e+00
2.2000000e+02	1.3023406e+06	1.1319834e+00
2.2100000e+02	1.3072582e+06	1.1346400e+00
2.2200000e+02	1.3121607e+06	1.1372818e+00
2.2300000e+02	1.3170483e+06	1.1399089e+00
2.2400000e+02	1.3219210e+06	1.1425213e+00
2.2500000e+02	1.3267787e+06	1.1451192e+00
2.2600000e+02	1.3316217e+06	1.1477027e+00
2.2700000e+02	1.3364498e+06	1.1502718e+00
2.2800000e+02	1.3412631e+06	1.1528268e+00
2.2900000e+02	1.3460617e+06	1.1553677e+00
2.3000000e+02	1.3508455e+06	1.1578946e+00
2.3100000e+02	1.3556146e+06	1.1604076e+00
2.3200000e+02	1.3603691e+06	1.1629069e+00
2.3300000e+02	1.3651089e+06	1.1653925e+00
2.3400000e+02	1.3698341e+06	1.1678645e+00
2.3500000e+02	1.3745447e+06	1.1703231e+00
2.3600000e+02	1.3792408e+06	1.1727683e+00
2.3700000e+02	1.3839223e+06	1.1752003e+00
2.3800000e+02	1.3885894e+06	1.1776192e+00
2.3900000e+02	1.3932419e+06	1.1800250e+00
2.4000000e+02	1.3978801e+06	1.1824179e+00
2.4100000e+02	1.4025038e+06	1.1847980e+00
2.4200000e+02	1.4071131e+06	1.1871653e+00
2.4300000e+02	1.4117080e+06	1.1895200e+00
2.4400000e+02	1.4162887e+06	1.1918621e+00
2.4500000e+02	1.4208550e+06	1.1941919e+00
2.4600000e+02	1.4254070e+06	1.1965092e+00
2.4700000e+02	1.4299448e+06	1.1988143e+00
2.4800000e+02	1.4344683e+06	1.2011073e+00
2.4900000e+02	1.4389777e+06	1.2033882e+00
2.5000000e+02	1.4434728e+06	1.2056572e+00
2.5100000e+02	1.4479538e+06	1.2079143e+00
2.5200000e+02	1.4524206e+06	1.2101596e+00
2.5300000e+02	1.4568734e+06	1.2123933e+00
2.5400000e+02	1.4613120e+06	1.2146154e+00
2.5500000e+02	1.4657366e+06	1.2168259e+00
2.5600000e+02	1.4701472e+06	1.2190251e+00
2.5700000e+02	1.4745437e+06	1.2212130e+00
2.5800000e+02	1.4789263e+06	1.2233896e+00
2.5900000e+02	1.4832949e+06	1.2255551e+00
2.6000000e+02	1.4876495e+06	1.2277096e+00
2.6100000e+02	1.4919902e+06	1.2298531e+00
2.6200000e+02	1.4963170e+06	1.2319857e+00
2.6300000e+02	1.5006300e+06	1.2341076e+00
2.6400000e+02	1.5049290e+06	1.2362188e+00
2.6500000e+02	1.5092143e+06	1.2383193e+00
2.6600000e+02	1.5134857e+06	1.2404093e+00
2.6700000e+02	1.5177433e+06	1.2424889e+00
2.6800000e+02	1.5219872e+06	1.2445582e+00
2.6900000e+02	1.5262173e+06	1.2466171e+00
2.7000000e+02	1.5304337e+06	1.2486659e+00
2.7100000e+02	1.5346364e+06	1.2507045e+00
2.7200000e+02	1.5388254e+06	1.2527332e+00
2.7300000e+02	1.5430007e+06	1.2547519e+00
2.7400000e+02	1.5471624e+06	1.2567607e+00
2.7500000e+02	1.5513105e+06	1.2587597e+00
2.7600000e+02	1.5554449e+06	1.2607490e+00
2.7700000e+02	1.5595658e+06	1.2627287e+00
2.7800000e+02	1.5636731e+06	1.2646989e+00
2.7900000e+02	1.5677669e+06	1.2666595e+00
2.8000000e+02	1.5718472e+06	1.2686108e+00
2.8100000e+02	1.5759139e+06	1.2705528e+00
2.8200000e+02	1.5799672e+06	1.2724855e+00
2.8300000e+02	1.5840069e+06	1.2744090e+00
2.8400000e+02	1.5880333e+06	1.2763235e+00
2.8500000e+02	1.5920462e+06	1.2782289e+00
2.8600000e+02	1.5960457e+06	1.2801253e+00
2.8700000e+02	1.6000318e+06	1.2820129e+00
2.8800000e+02	1.6040046e+06	1.2838917e+00
2.8900000e+02	1.6079640e+06	1.2857618e+00
2.9000000e+02	1.6119101e+06	1.2876232e+00
2.9100000e+02	1.6158428e+06	1.2894760e+00
2.9200000e+02	1.6197623e+06	1.2913203e+00
2.9300000e+02	1.6236685e+06	1.2931561e+00
2.9400000e+02	1.6275614e+06	1.2949836e+00
2.9500000e+02	1.6314411e+06	1.2968028e+00
2.9600000e+02	1.6353076e+06	1.2986137e+00
2.9700000e+02	1.6391609e+06	1.3004164e+00
2.9800000e+02	1.6430010e+06	1.3022110e+00
2.9900000e+02	1.6468279e+06	1.3039976e+00
3.0000000e+02	1.6506417e+06	1.3057762e+00
3.0100000e+02	1.6544423e+06	1.3075469e+00
3.0200000e+02	1.6582298e+06	1.3093097e+00
3.0300000e+02	1.6620043e+06	1.3110647e+00
3.0400000e+02	1.6657657e+06	1.3128121e+00
3.0500000e+02	1.6695140e+06	1.3145517e+00
3.0600000e+02	1.6732492e+06	1.3162838e+00
3.0700000e+02	1.6769715e+06	1.3180084e+00
3.0800000e+02	1.6806807e+06	1.3197255e+00
3.0900000e+02	1.6843770e+06	1.3214351e+00
3.1000000e+02	1.6880603e+06	1.3231375e+00
3.1100000e+02	1.6917306e+06	1.3248325e+00
3.1200000e+02	1.6953880e+06	1.3265203e+00
3.1300000e+02	1.6990325e+06	1.3282009e+00
3.1400000e+02	1.7026641e+06	1.3298745e+00
3.1500000e+02	1.7062829e+06	1.3315409e+00
3.1600000e+02	1.7098887e+06	1.3332004e+00
3.1700000e+02	1.7134817e+06	1.3348530e+00
3.1800000e+02	1.7170619e+06	1.3364986e+00
3.1900000e+02	1.7206293e+06	1.3381375e+00
3.2000000e+02	1.7241839e+06	1.3397696e+00
3.2100000e+02	1.7277257e+06	1.3413949e+00
3.2200000e+02	1.7312547e+06	1.3430136e+00
3.2300000e+02	1.7347710e+06	1.3446257e+00
3.2400000e+02	1.7382746e+06	1.3462313e+00
3.2500000e+02	1.7417655e+06	1.3478304e+00
3.2600000e+02	1.7452437e+06	1.3494230e+00
3.2700000e+02	1.7487093e+06	1.3510092e+00
3.2800000e+02	1.7521621e+06	1.3525891e+00
3.2900000e+02	1.7556024e+06	1.3541627e+00
3.3000000e+02	1.7590300e+06	1.3557301e+00
3.3100000e+02	1.7624451e+06	1.3572912e+00
3.3200000e+02	1.7658475e+06	1.3588463e+00
3.3300000e+02	1.7692374e+06	1.3603952e+00
3.3400000e+02	1.7726148e+06	1.3619382e+00
3.3500000e+02	1.7759796e+06	1.3634751e+00
3.3600000e+02	1.7793319e+06	1.3650061e+00
3.3700000e+02	1.7826717e+06	1.3665312e+00
3.3800000e+02	1.7859991e+06	1.3680505e+00
3.3900000e+02	1.7893140e+06	1.3695640e+00
3.4000000e+02	1.7926165e+06	1.3710717e+00
3.4100000e+02	1.7959065e+06	1.3725738e+00
3.4200000e+02	1.7991841e+06	1.3740701e+00
3.4300000e+02	1.8024494e+06	1.3755609e+00
3.4400000e+02	1.8057023e+06	1.3770461e+00
3.4500000e+02	1.8089428e+06	1.3785258e+00
3.4600000e+02	1.8121711e+06	1.3800000e+00
3.4700000e+02	1.8153870e+06	1.3814687e+00
3.4800000e+02	1.8185906e+06	1.3829321e+00
3.4900000e+02	1.8217820e+06	1.3843901e+00
3.5000000e+02	1.8249610e+06	1.3858429e+00
3.5100000e+02	1.8281279e+06	1.3872903e+00
3.5200000e+02	1.8312825e+06	1.3887326e+00
3.5300000e+02	1.8344250e+06	1.3901697e+00
3.5400000e+02	1.8375553e+06	1.3916016e+00
3.5500000e+02	1.8406734e+06	1.3930284e+00
3.5600000e+02	1.8437793e+06	1.3944502e+00
3.5700000e+02	1.8468732e+06	1.3958670e+00
3.5800000e+02	1.8499549e+06	1.3972787e+00
3.5900000e+02	1.8530245e+06	1.3986856e+00
3.6000000e+02	1.8560821e+06	1.4000875e+00
3.6100000e+02	1.8591276e+06	1.4014846e+00
3.6200000e+02	1.8621611e+06	1.4028769e+00
3.6300000e+02	1.8651826e+06	1.4042643e+00
3.6400000e+02	1.8681921e+06	1.4056470e+00
3.6500000e+02	1.8711897e+06	1.4070250e+00
3.6600000e+02	1.8741753e+06	1.4083984e+00
3.6700000e+02	1.8771489e+06	1.4097671e+00
3.6800000e+02	1.8801107e+06	1.4111311e+00
3.6900000e+02	1.8830605e+06	1.4124907e+00
3.7000000e+02	1.8859985e+06	1.4138456e+00
3.7100000e+02	1.8889246e+06	1.4151961e+00
3.7200000e+02	1.8918389e+06	1.4165421e+00
3.7300000e+02	1.8947414e+06	1.4178837e+00
3.7400000e+02	1.8976321e+06	1.4192209e+00
3.7500000e+02	1.9005111e+06	1.4205537e+00
3.7600000e+02	1.9033782e+06	1.4218822e+00
3.7700000e+02	1.9062337e+06	1.4232063e+00
3.7800000e+02	1.9090774e+06	1.4245262e+00
3.7900000e+02	1.9119095e+06	1.4258419e+00
3.8000000e+02	1.9147299e+06	1.4271534e+00
3.8100000e+02	1.9175386e+06	1.4284607e+00
3.8200000e+02	1.9203357e+06	1.4297638e+00
