---
source: "Converted from Material_new/ xlsx data"
date: "AI_FDTRFit"
notes: ""
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
3.0615000e+02	1.6893800e+06	1.3283034e+00
3.0715000e+02	1.6929000e+06	1.3300166e+00
3.0815000e+02	1.6955400e+06	1.3317128e+00
3.0915000e+02	1.6990600e+06	1.3333916e+00
3.1015000e+02	1.7021400e+06	1.3350523e+00
3.1115000e+02	1.7058800e+06	1.3366946e+00
3.1215000e+02	1.7087400e+06	1.3383193e+00
3.1315000e+02	1.7120400e+06	1.3399282e+00
3.1415000e+02	1.7151200e+06	1.3415219e+00
3.1515000e+02	1.7188600e+06	1.3431009e+00
3.1615000e+02	1.7223800e+06	1.3446657e+00
3.1715000e+02	1.7259000e+06	1.3462169e+00
3.1815000e+02	1.7292000e+06	1.3477549e+00
3.1915000e+02	1.7327200e+06	1.3492802e+00
3.2015000e+02	1.7362400e+06	1.3507934e+00
3.2115000e+02	1.7397600e+06	1.3522950e+00
3.2215000e+02	1.7435000e+06	1.3537854e+00
3.2315000e+02	1.7470200e+06	1.3552652e+00
3.2415000e+02	1.7501000e+06	1.3567349e+00
3.2515000e+02	1.7536200e+06	1.3581949e+00
3.2615000e+02	1.7571400e+06	1.3596459e+00
3.2715000e+02	1.7600000e+06	1.3610882e+00
3.2815000e+02	1.7633000e+06	1.3625225e+00
3.2915000e+02	1.7661600e+06	1.3639492e+00
3.3015000e+02	1.7694600e+06	1.3653688e+00
3.3115000e+02	1.7727600e+06	1.3667819e+00
3.3215000e+02	1.7758400e+06	1.3681889e+00
3.3315000e+02	1.7787000e+06	1.3695904e+00
3.3415000e+02	1.7817800e+06	1.3709868e+00
3.3515000e+02	1.7848600e+06	1.3723787e+00
3.3615000e+02	1.7877200e+06	1.3737666e+00
3.3715000e+02	1.7908000e+06	1.3751509e+00
3.3815000e+02	1.7936600e+06	1.3765322e+00
3.3915000e+02	1.7967400e+06	1.3779111e+00
3.4015000e+02	1.8000400e+06	1.3792879e+00
3.4115000e+02	1.8031200e+06	1.3806633e+00
3.4215000e+02	1.8064200e+06	1.3820377e+00
3.4315000e+02	1.8092800e+06	1.3834116e+00
3.4415000e+02	1.8121400e+06	1.3847856e+00
3.4515000e+02	1.8150000e+06	1.3861601e+00
3.4615000e+02	1.8174200e+06	1.3875356e+00
3.4715000e+02	1.8200600e+06	1.3889128e+00
3.4815000e+02	1.8231400e+06	1.3902919e+00
3.4915000e+02	1.8260000e+06	1.3916737e+00
3.5015000e+02	1.8288600e+06	1.3930586e+00
3.5115000e+02	1.8317200e+06	1.3944470e+00
3.5215000e+02	1.8343600e+06	1.3958378e+00
3.5315000e+02	1.8370000e+06	1.3972264e+00
3.5415000e+02	1.8400800e+06	1.3986127e+00
3.5515000e+02	1.8427200e+06	1.3999966e+00
3.5615000e+02	1.8453600e+06	1.4013781e+00
3.5715000e+02	1.8484400e+06	1.4027573e+00
3.5815000e+02	1.8513000e+06	1.4041341e+00
3.5915000e+02	1.8543800e+06	1.4055084e+00
3.6015000e+02	1.8570200e+06	1.4068804e+00
3.6115000e+02	1.8596600e+06	1.4082500e+00
3.6215000e+02	1.8623000e+06	1.4096171e+00
3.6315000e+02	1.8649400e+06	1.4109819e+00
3.6415000e+02	1.8673600e+06	1.4123442e+00
3.6515000e+02	1.8702200e+06	1.4137041e+00
3.6615000e+02	1.8728600e+06	1.4150615e+00
3.6715000e+02	1.8755000e+06	1.4164165e+00
3.6815000e+02	1.8781400e+06	1.4177691e+00
3.6915000e+02	1.8810000e+06	1.4191192e+00
3.7015000e+02	1.8836400e+06	1.4204668e+00
3.7115000e+02	1.8862800e+06	1.4218119e+00
3.7215000e+02	1.8889200e+06	1.4231546e+00
3.7315000e+02	1.8917800e+06	1.4244948e+00
3.7415000e+02	1.8944200e+06	1.4258325e+00
3.7515000e+02	1.8970600e+06	1.4271677e+00
3.7615000e+02	1.8997000e+06	1.4285004e+00
3.7715000e+02	1.9023400e+06	1.4298306e+00
3.7815000e+02	1.9047600e+06	1.4311583e+00
3.7915000e+02	1.9074000e+06	1.4324834e+00
3.8015000e+02	1.9098200e+06	1.4338060e+00
3.8115000e+02	1.9122400e+06	1.4351261e+00
3.8215000e+02	1.9146600e+06	1.4364436e+00
3.8315000e+02	1.9173000e+06	1.4377586e+00
3.8415000e+02	1.9197200e+06	1.4390710e+00
3.8515000e+02	1.9219200e+06	1.4403809e+00
3.8615000e+02	1.9245600e+06	1.4416882e+00
3.8715000e+02	1.9269800e+06	1.4429929e+00
3.8815000e+02	1.9294000e+06	1.4442950e+00
3.8915000e+02	1.9320400e+06	1.4455945e+00
3.9015000e+02	1.9344600e+06	1.4468915e+00
3.9115000e+02	1.9371000e+06	1.4481867e+00
3.9215000e+02	1.9397400e+06	1.4494827e+00
3.9315000e+02	1.9423800e+06	1.4507795e+00
3.9415000e+02	1.9450200e+06	1.4520767e+00
3.9515000e+02	1.9478800e+06	1.4533742e+00
3.9615000e+02	1.9505200e+06	1.4546716e+00
3.9715000e+02	1.9531600e+06	1.4559686e+00
3.9815000e+02	1.9555800e+06	1.4572649e+00
3.9915000e+02	1.9580000e+06	1.4585603e+00
4.0015000e+02	1.9606400e+06	1.4598544e+00
4.0115000e+02	1.9628400e+06	1.4611470e+00
4.0215000e+02	1.9652600e+06	1.4624378e+00
4.0315000e+02	1.9676800e+06	1.4637266e+00
4.0415000e+02	1.9698800e+06	1.4650129e+00
4.0515000e+02	1.9720800e+06	1.4662966e+00
4.0615000e+02	1.9747200e+06	1.4675773e+00
4.0715000e+02	1.9771400e+06	1.4688547e+00
4.0815000e+02	1.9791200e+06	1.4701287e+00
4.0915000e+02	1.9813200e+06	1.4713988e+00
4.1015000e+02	1.9837400e+06	1.4726649e+00
4.1115000e+02	1.9857200e+06	1.4739265e+00
4.1215000e+02	1.9879200e+06	1.4751835e+00
4.1315000e+02	1.9899000e+06	1.4764356e+00
4.1415000e+02	1.9921000e+06	1.4776824e+00
4.1515000e+02	1.9943000e+06	1.4789236e+00
4.1615000e+02	1.9962800e+06	1.4801591e+00
4.1715000e+02	1.9984800e+06	1.4813884e+00
4.1815000e+02	2.0004600e+06	1.4826114e+00
