---
source: "Aluminum. Source: Journal of Chemical and Engineering Data, Vol. 15, No. 4, 1970, p. 518"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.4652090e+01	8.9744470e+03	3.0199670e+02
1.5050770e+01	9.6395550e+03	3.0199670e+02
1.5460290e+01	1.0370200e+04	3.0199670e+02
1.5880950e+01	1.1173750e+04	3.0199670e+02
1.6313070e+01	1.2058320e+04	3.0199670e+02
1.6756930e+01	1.3032860e+04	3.0199670e+02
1.7212880e+01	1.4107220e+04	3.0199670e+02
1.7681230e+01	1.5292260e+04	3.0199670e+02
1.8162330e+01	1.6599910e+04	3.0199670e+02
1.8656520e+01	1.8043300e+04	3.0199670e+02
1.9164150e+01	1.9636840e+04	3.0199670e+02
1.9685600e+01	2.1396400e+04	3.0199670e+02
2.0221230e+01	2.3339310e+04	3.0199670e+02
2.0771440e+01	2.5482750e+04	3.0199670e+02
2.1336620e+01	2.7843000e+04	3.0199670e+02
2.1917170e+01	3.0437420e+04	3.0199670e+02
2.2513530e+01	3.3284700e+04	3.0199670e+02
2.3126110e+01	3.6404990e+04	3.0199670e+02
2.3755350e+01	3.9819970e+04	3.0199670e+02
2.4401720e+01	4.3552970e+04	3.0199670e+02
2.5065680e+01	4.7629160e+04	3.0199670e+02
2.5747700e+01	5.2075610e+04	3.0199670e+02
2.6448280e+01	5.6921490e+04	3.0199670e+02
2.7167930e+01	6.2198220e+04	3.0199670e+02
2.7907150e+01	6.7939630e+04	3.0199670e+02
2.8666490e+01	7.4182180e+04	3.0199670e+02
2.9446490e+01	8.0965130e+04	3.0199670e+02
3.0247710e+01	8.8330730e+04	3.0199670e+02
3.1070730e+01	9.6319550e+04	3.0199670e+02
3.1916150e+01	1.0496630e+05	3.0199670e+02
3.2784570e+01	1.1430650e+05	3.0199670e+02
3.3676620e+01	1.2437670e+05	3.0199670e+02
3.4592940e+01	1.3521500e+05	3.0199670e+02
3.5534190e+01	1.4686090e+05	3.0199670e+02
3.6501060e+01	1.5935510e+05	3.0199670e+02
3.7494230e+01	1.7274000e+05	3.0199670e+02
3.8514430e+01	1.8705890e+05	3.0199670e+02
3.9562380e+01	2.0235660e+05	3.0199670e+02
4.0638850e+01	2.1867850e+05	3.0199670e+02
4.1744610e+01	2.3605580e+05	3.0199670e+02
4.2880460e+01	2.5450650e+05	3.0199670e+02
4.4047210e+01	2.7404420e+05	3.0199670e+02
4.5245710e+01	2.9467770e+05	3.0199670e+02
4.6476820e+01	3.1641090e+05	3.0199670e+02
4.7741430e+01	3.3924130e+05	3.0199670e+02
4.9040450e+01	3.6315940e+05	3.0199670e+02
5.0374810e+01	3.8814770e+05	3.0199670e+02
5.1745480e+01	4.1419050e+05	3.0199670e+02
5.3153440e+01	4.4128350e+05	3.0199670e+02
5.4599720e+01	4.6941870e+05	3.0199670e+02
5.6085340e+01	4.9858060e+05	3.0199670e+02
5.7611390e+01	5.2874630e+05	3.0199670e+02
5.9178970e+01	5.5988360e+05	3.0199670e+02
6.0789190e+01	5.9195110e+05	3.0199670e+02
6.2443230e+01	6.2491490e+05	3.0199670e+02
6.4142280e+01	6.5875170e+05	3.0199670e+02
6.5887550e+01	6.9343160e+05	3.0199670e+02
6.7680310e+01	7.2891670e+05	3.0199670e+02
6.9521860e+01	7.6516010e+05	3.0199670e+02
7.1413510e+01	8.0210650e+05	3.0199670e+02
7.3356630e+01	8.3970900e+05	3.0199670e+02
7.5352620e+01	8.7792190e+05	3.0199670e+02
7.7402920e+01	9.1669120e+05	3.0199670e+02
7.9509010e+01	9.5595360e+05	3.0199670e+02
8.1672400e+01	9.9563830e+05	3.0199670e+02
8.3894660e+01	1.0356880e+06	3.0199670e+02
8.6177390e+01	1.0760500e+06	3.0199670e+02
8.8522220e+01	1.1166660e+06	3.0199670e+02
9.0930860e+01	1.1574680e+06	3.0199670e+02
9.3405040e+01	1.1983850e+06	3.0199670e+02
9.5946540e+01	1.2393430e+06	3.0199670e+02
9.8557190e+01	1.2802610e+06	3.0199670e+02
1.0123890e+02	1.3210490e+06	3.0032220e+02
1.0399350e+02	1.3616340e+06	2.9670520e+02
1.0682310e+02	1.4019690e+06	2.9313920e+02
1.0972970e+02	1.4420070e+06	2.8962960e+02
1.1271540e+02	1.4817010e+06	2.8618170e+02
1.1578230e+02	1.5210030e+06	2.8280120e+02
1.1893270e+02	1.5598670e+06	2.7949350e+02
1.2216880e+02	1.5982440e+06	2.7626430e+02
1.2549290e+02	1.6360890e+06	2.7311910e+02
1.2890750e+02	1.6733570e+06	2.7006360e+02
1.3241500e+02	1.7100040e+06	2.6710320e+02
1.3601800e+02	1.7459900e+06	2.6424340e+02
1.3971890e+02	1.7812770e+06	2.6148950e+02
1.4352060e+02	1.8158310e+06	2.5884670e+02
1.4742570e+02	1.8496240e+06	2.5632010e+02
1.5143710e+02	1.8826330e+06	2.5391430e+02
1.5555760e+02	1.9148300e+06	2.5163400e+02
1.5979020e+02	1.9461810e+06	2.4948320e+02
1.6413800e+02	1.9766550e+06	2.4746600e+02
1.6860410e+02	2.0062260e+06	2.4558560e+02
1.7319180e+02	2.0348750e+06	2.4384510e+02
1.7790420e+02	2.0625940e+06	2.4224690e+02
1.8274490e+02	2.0893810e+06	2.4079290e+02
1.8771730e+02	2.1152480e+06	2.3948440e+02
1.9282490e+02	2.1402200e+06	2.3832200e+02
1.9807160e+02	2.1643360e+06	2.3730560e+02
2.0346100e+02	2.1876500e+06	2.3643410e+02
2.0899710e+02	2.2101760e+06	2.3570580e+02
2.1468380e+02	2.2319010e+06	2.3511800e+02
2.2052520e+02	2.2528170e+06	2.3466720e+02
2.2652550e+02	2.2729270e+06	2.3434860e+02
2.3268920e+02	2.2922420e+06	2.3415660e+02
2.3902050e+02	2.3107830e+06	2.3408460e+02
2.4552410e+02	2.3285860e+06	2.3412480e+02
2.5220470e+02	2.3457000e+06	2.3426830e+02
2.5906700e+02	2.3621290e+06	2.3450520e+02
2.6611610e+02	2.3777860e+06	2.3482450e+02
2.7335700e+02	2.3925660e+06	2.3521420e+02
2.8079490e+02	2.4064820e+06	2.3566120e+02
2.8843510e+02	2.4200490e+06	2.3615190e+02
2.9628330e+02	2.4339890e+06	2.3667130e+02
3.0434500e+02	2.4485360e+06	2.3720430e+02
3.1262600e+02	2.4621840e+06	2.3773500e+02
3.2113240e+02	2.4749180e+06	2.3824730e+02
3.2987020e+02	2.4869220e+06	2.3872490e+02
3.3884580e+02	2.4984180e+06	2.3915200e+02
3.4806560e+02	2.5096730e+06	2.3951280e+02
3.5753630e+02	2.5209760e+06	2.3979290e+02
3.6726460e+02	2.5324180e+06	2.3997860e+02
3.7725770e+02	2.5439940e+06	2.4005830e+02
3.8752270e+02	2.5556950e+06	2.4002210e+02
3.9806690e+02	2.5675120e+06	2.3986300e+02
4.0889810e+02	2.5794420e+06	2.3957680e+02
4.2002400e+02	2.5915350e+06	2.3916310e+02
4.3145260e+02	2.6038720e+06	2.3862560e+02
4.4319220e+02	2.6165480e+06	2.3797230e+02
4.5525120e+02	2.6296730e+06	2.3721650e+02
4.6763830e+02	2.6433040e+06	2.3637660e+02
4.8036250e+02	2.6574210e+06	2.3547680e+02
4.9343290e+02	2.6719950e+06	2.3454650e+02
5.0685890e+02	2.6869960e+06	2.3362040e+02
5.2065020e+02	2.7025120e+06	2.3273810e+02
5.3481680e+02	2.7187830e+06	2.3194250e+02
5.4936890e+02	2.7360880e+06	2.3127860e+02
5.6431690e+02	2.7546760e+06	2.3079070e+02
5.7967160e+02	2.7744890e+06	2.3051950e+02
5.9544410e+02	2.7953490e+06	2.3049720e+02
6.1164580e+02	2.8170720e+06	2.3053920e+02
6.2828840e+02	2.8397590e+06	2.3053920e+02
6.4538370e+02	2.8637170e+06	2.3053920e+02
6.6294430e+02	2.8892710e+06	2.3053920e+02
6.8098260e+02	2.9165350e+06	2.3053920e+02
6.9951170e+02	2.9454860e+06	2.3053920e+02
7.1854510e+02	2.9761090e+06	2.3053920e+02
7.3809630e+02	3.0084890e+06	2.3053920e+02
7.5817940e+02	3.0427500e+06	2.3053920e+02
7.7880910e+02	3.0790930e+06	2.3053920e+02
8.0000000e+02	3.1178380e+06	2.3053920e+02
