---
source: "Nickel Data source: thermophysical properties of matter vol.4 curve 10 plus curve1"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.6000000e+02	3.0506860e+06	1.2054190e+02
1.6100000e+02	3.0614760e+06	1.2010707e+02
1.6200000e+02	3.0722661e+06	1.1967847e+02
1.6300000e+02	3.0830561e+06	1.1925599e+02
1.6400000e+02	3.0936098e+06	1.1883951e+02
1.6500000e+02	3.1040471e+06	1.1842893e+02
1.6600000e+02	3.1144845e+06	1.1802414e+02
1.6700000e+02	3.1249218e+06	1.1762503e+02
1.6800000e+02	3.1353591e+06	1.1723151e+02
1.6900000e+02	3.1457964e+06	1.1684346e+02
1.7000000e+02	3.1562337e+06	1.1646079e+02
1.7100000e+02	3.1666710e+06	1.1608340e+02
1.7200000e+02	3.1765880e+06	1.1571119e+02
1.7300000e+02	3.1861994e+06	1.1534407e+02
1.7400000e+02	3.1958109e+06	1.1498194e+02
1.7500000e+02	3.2054223e+06	1.1462472e+02
1.7600000e+02	3.2150337e+06	1.1427231e+02
1.7700000e+02	3.2246451e+06	1.1392464e+02
1.7800000e+02	3.2342566e+06	1.1358160e+02
1.7900000e+02	3.2438680e+06	1.1324312e+02
1.8000000e+02	3.2528806e+06	1.1290911e+02
1.8100000e+02	3.2613404e+06	1.1257948e+02
1.8200000e+02	3.2698002e+06	1.1225416e+02
1.8300000e+02	3.2782600e+06	1.1193308e+02
1.8400000e+02	3.2867199e+06	1.1161615e+02
1.8500000e+02	3.2951797e+06	1.1130330e+02
1.8600000e+02	3.3036395e+06	1.1099447e+02
1.8700000e+02	3.3120993e+06	1.1068958e+02
1.8800000e+02	3.3203104e+06	1.1038856e+02
1.8900000e+02	3.3279930e+06	1.1009134e+02
1.9000000e+02	3.3356755e+06	1.0979784e+02
1.9100000e+02	3.3433580e+06	1.0950800e+02
1.9200000e+02	3.3510405e+06	1.0922175e+02
1.9300000e+02	3.3587231e+06	1.0893902e+02
1.9400000e+02	3.3664056e+06	1.0865975e+02
1.9500000e+02	3.3740881e+06	1.0838389e+02
1.9600000e+02	3.3817707e+06	1.0811135e+02
1.9700000e+02	3.3894088e+06	1.0784210e+02
1.9800000e+02	3.3970456e+06	1.0757606e+02
1.9900000e+02	3.4046824e+06	1.0731318e+02
2.0000000e+02	3.4123192e+06	1.0705340e+02
2.0100000e+02	3.4199560e+06	1.0679668e+02
2.0200000e+02	3.4275928e+06	1.0654294e+02
2.0300000e+02	3.4352296e+06	1.0629215e+02
2.0400000e+02	3.4428664e+06	1.0604424e+02
2.0500000e+02	3.4499634e+06	1.0579917e+02
2.0600000e+02	3.4566530e+06	1.0555689e+02
2.0700000e+02	3.4633427e+06	1.0531735e+02
2.0800000e+02	3.4700324e+06	1.0508050e+02
