---
source: "Silicon. Cp source: Austin"
---

T (K)	rho_cp (J/m^3K)	S (W/mK)
1.5050770e+01	1.4680280e+03	8.8370700e+02
1.5460290e+01	1.6375120e+03	8.8370700e+02
1.5880950e+01	1.8319470e+03	8.8370700e+02
1.6313070e+01	2.0555530e+03	8.8370700e+02
1.6756930e+01	2.3132160e+03	8.8370700e+02
1.7212880e+01	2.6111850e+03	8.8370700e+02
1.7681230e+01	2.9567260e+03	8.8370700e+02
1.8162330e+01	3.3580130e+03	8.8370700e+02
1.8656520e+01	3.8242300e+03	8.8370700e+02
1.9164150e+01	4.3659370e+03	8.8370700e+02
1.9685600e+01	4.9951740e+03	8.8370700e+02
2.0221230e+01	5.7254140e+03	8.8370700e+02
2.0771440e+01	6.5716960e+03	8.8370700e+02
2.1336620e+01	7.5504570e+03	8.8370700e+02
2.1917170e+01	8.6793220e+03	8.8370700e+02
2.2513530e+01	9.9777660e+03	8.8370700e+02
2.3126110e+01	1.1467360e+04	8.8370700e+02
2.3755350e+01	1.3171360e+04	8.8370700e+02
2.4401720e+01	1.5112150e+04	8.8370700e+02
2.5065680e+01	1.7313170e+04	8.8370700e+02
2.5747700e+01	1.9800010e+04	8.8370700e+02
2.6448280e+01	2.2600260e+04	8.8370700e+02
2.7167930e+01	2.5739630e+04	8.8370700e+02
2.7907150e+01	2.9242230e+04	8.8370700e+02
2.8666490e+01	3.3133560e+04	8.8370700e+02
2.9446490e+01	3.7440690e+04	8.8370700e+02
3.0247710e+01	4.2188950e+04	8.8370700e+02
3.1070730e+01	4.7398090e+04	8.8370700e+02
3.1916150e+01	5.3087200e+04	8.8370700e+02
3.2784570e+01	5.9275240e+04	8.8370700e+02
3.3676620e+01	6.5979990e+04	8.8370700e+02
3.4592940e+01	7.3213540e+04	8.8370700e+02
3.5534190e+01	8.0984710e+04	8.8370700e+02
3.6501060e+01	8.9300190e+04	8.8370700e+02
3.7494230e+01	9.8164140e+04	8.8370700e+02
3.8514430e+01	1.0757730e+05	8.8370700e+02
3.9562380e+01	1.1753630e+05	8.8370700e+02
4.0638850e+01	1.2803400e+05	8.8370700e+02
4.1744610e+01	1.3905850e+05	8.8370700e+02
4.2880460e+01	1.5059580e+05	8.8370700e+02
4.4047210e+01	1.6263310e+05	8.8370700e+02
4.5245710e+01	1.7515340e+05	8.8370700e+02
4.6476820e+01	1.8813390e+05	8.8370700e+02
4.7741430e+01	2.0154800e+05	8.8370700e+02
4.9040450e+01	2.1537490e+05	8.8370700e+02
5.0374810e+01	2.2959270e+05	8.8370700e+02
5.1745480e+01	2.4417400e+05	8.8370700e+02
5.3153440e+01	2.5908630e+05	8.8370700e+02
5.4599720e+01	2.7430380e+05	8.8370700e+02
5.6085340e+01	2.8980770e+05	8.8370700e+02
5.7611390e+01	3.0557540e+05	8.8370700e+02
5.9178970e+01	3.2158020e+05	8.8370700e+02
6.0789190e+01	3.3779850e+05	8.8370700e+02
6.2443230e+01	3.5421840e+05	8.8370700e+02
6.4142280e+01	3.7082840e+05	8.8370700e+02
6.5887550e+01	3.8761560e+05	8.8370700e+02
6.7680310e+01	4.0456710e+05	8.8370700e+02
6.9521860e+01	4.2168020e+05	8.8370700e+02
7.1413510e+01	4.3895620e+05	8.8370700e+02
7.3356630e+01	4.5639740e+05	8.8370700e+02
7.5352620e+01	4.7400770e+05	8.8370700e+02
7.7402920e+01	4.9179450e+05	8.8370700e+02
7.9509010e+01	5.0976980e+05	8.8370700e+02
8.1672400e+01	5.2794820e+05	8.8370700e+02
8.3894660e+01	5.4634750e+05	8.8370700e+02
8.6177390e+01	5.6498640e+05	8.8370700e+02
8.8522220e+01	5.8388260e+05	8.8370700e+02
9.0930860e+01	6.0305600e+05	8.8370700e+02
9.3405040e+01	6.2253000e+05	8.8370700e+02
9.5946540e+01	6.4233010e+05	8.8370700e+02
9.8557190e+01	6.6247270e+05	8.8370700e+02
1.0123890e+02	6.8297260e+05	8.6745680e+02
1.0399350e+02	7.0384630e+05	8.3261130e+02
1.0682310e+02	7.2511230e+05	7.9858960e+02
1.0972970e+02	7.4678210e+05	7.6541510e+02
1.1271540e+02	7.6885980e+05	7.3310960e+02
1.1578230e+02	7.9134930e+05	7.0169290e+02
1.1893270e+02	8.1425450e+05	6.7118240e+02
1.2216880e+02	8.3757420e+05	6.4159370e+02
1.2549290e+02	8.6129580e+05	6.1293980e+02
1.2890750e+02	8.8540220e+05	5.8523150e+02
1.3241500e+02	9.0987350e+05	5.5847700e+02
1.3601800e+02	9.3468650e+05	5.3268210e+02
1.3971890e+02	9.5981680e+05	5.0785020e+02
1.4352060e+02	9.8523750e+05	4.8398180e+02
1.4742570e+02	1.0109170e+06	4.6107530e+02
1.5143710e+02	1.0368210e+06	4.3912610e+02
1.5555760e+02	1.0629120e+06	4.1812730e+02
1.5979020e+02	1.0891520e+06	3.9806940e+02
1.6413800e+02	1.1154970e+06	3.7894060e+02
1.6860410e+02	1.1419010e+06	3.6072650e+02
1.7319180e+02	1.1683160e+06	3.4341050e+02
1.7790420e+02	1.1946980e+06	3.2697390e+02
1.8274490e+02	1.2210030e+06	3.1139570e+02
1.8771730e+02	1.2471840e+06	2.9665310e+02
1.9282490e+02	1.2731910e+06	2.8272150e+02
1.9807160e+02	1.2989850e+06	2.6957460e+02
2.0346100e+02	1.3245300e+06	2.5718470e+02
2.0899710e+02	1.3497910e+06	2.4552260e+02
2.1468380e+02	1.3747310e+06	2.3455810e+02
2.2052520e+02	1.3993150e+06	2.2426030e+02
2.2652550e+02	1.4235110e+06	2.1459720e+02
2.3268920e+02	1.4472860e+06	2.0553640e+02
2.3902050e+02	1.4706110e+06	1.9704530e+02
2.4552410e+02	1.4934580e+06	1.8909100e+02
2.5220470e+02	1.5158040e+06	1.8164080e+02
2.5906700e+02	1.5376300e+06	1.7466210e+02
2.6611610e+02	1.5589200e+06	1.6812290e+02
2.7335700e+02	1.5796650e+06	1.6199170e+02
2.8079490e+02	1.5998590e+06	1.5623770e+02
2.8843510e+02	1.6195030e+06	1.5083130e+02
2.9628330e+02	1.6386080e+06	1.4574360e+02
3.0434500e+02	1.6638480e+06	1.4094700e+02
3.1262600e+02	1.6835260e+06	1.3641540e+02
3.2113240e+02	1.7027160e+06	1.3212370e+02
3.2987020e+02	1.7214150e+06	1.2804840e+02
3.3884580e+02	1.7396210e+06	1.2416760e+02
3.4806560e+02	1.7573320e+06	1.2046070e+02
3.5753630e+02	1.7745500e+06	1.1690870e+02
3.6726460e+02	1.7912770e+06	1.1349430e+02
3.7725770e+02	1.8075180e+06	1.1020160e+02
3.8752270e+02	1.8232770e+06	1.0701620e+02
3.9806690e+02	1.8385630e+06	1.0392510e+02
4.0889810e+02	1.8533850e+06	1.0091700e+02
4.2002400e+02	1.8677530e+06	9.7981620e+01
4.3145260e+02	1.8816800e+06	9.5110220e+01
4.4319220e+02	1.8951790e+06	9.2295170e+01
4.5525120e+02	1.9082660e+06	8.9530020e+01
4.6763830e+02	1.9209570e+06	8.6809350e+01
4.8036250e+02	1.9332690e+06	8.4128750e+01
4.9343290e+02	1.9452230e+06	8.1484680e+01
5.0685890e+02	1.9568390e+06	7.8874410e+01
5.2065020e+02	1.9681370e+06	7.6295930e+01
5.3481680e+02	1.9791400e+06	7.3747880e+01
5.4936890e+02	1.9898720e+06	7.1229460e+01
5.6431690e+02	2.0003560e+06	6.8740360e+01
5.7967160e+02	2.0106170e+06	6.6280710e+01
5.9544410e+02	2.0206800e+06	6.3850970e+01
6.1164580e+02	2.0305700e+06	6.1451940e+01
6.2828840e+02	2.0403140e+06	5.9084650e+01
6.4538370e+02	2.0499370e+06	5.6750320e+01
6.6294430e+02	2.0594650e+06	5.4450350e+01
6.8098260e+02	2.0689260e+06	5.2186240e+01
6.9951170e+02	2.0783440e+06	4.9959580e+01
7.1854510e+02	2.0877470e+06	4.7772010e+01
7.3809630e+02	2.0971590e+06	4.5625200e+01
7.5817940e+02	2.1066070e+06	4.3520810e+01
7.7880910e+02	2.1161140e+06	4.1460480e+01
8.0000000e+02	2.1257070e+06	3.9445830e+01
