---
source: "Chromium Data source: thermophysical properties of matter vol.4 curve 4 plus curve6"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.6000000e+02	2.3822292e+06	1.2236041e+02
1.6100000e+02	2.3944260e+06	1.2197271e+02
1.6200000e+02	2.4064803e+06	1.2159019e+02
1.6300000e+02	2.4183934e+06	1.2121278e+02
1.6400000e+02	2.4301663e+06	1.2084040e+02
1.6500000e+02	2.4418006e+06	1.2047298e+02
1.6600000e+02	2.4532974e+06	1.2011045e+02
1.6700000e+02	2.4646581e+06	1.1975274e+02
1.6800000e+02	2.4758840e+06	1.1939976e+02
1.6900000e+02	2.4869765e+06	1.1905144e+02
1.7000000e+02	2.4979368e+06	1.1870772e+02
1.7100000e+02	2.5087665e+06	1.1836851e+02
1.7200000e+02	2.5194669e+06	1.1803374e+02
1.7300000e+02	2.5300393e+06	1.1770336e+02
1.7400000e+02	2.5404852e+06	1.1737728e+02
1.7500000e+02	2.5508060e+06	1.1705544e+02
1.7600000e+02	2.5610030e+06	1.1673778e+02
1.7700000e+02	2.5710778e+06	1.1642423e+02
1.7800000e+02	2.5810318e+06	1.1611473e+02
1.7900000e+02	2.5908663e+06	1.1580923e+02
1.8000000e+02	2.6005828e+06	1.1550766e+02
1.8100000e+02	2.6101827e+06	1.1520997e+02
1.8200000e+02	2.6196676e+06	1.1491610e+02
1.8300000e+02	2.6290388e+06	1.1462600e+02
1.8400000e+02	2.6382978e+06	1.1433959e+02
1.8500000e+02	2.6474459e+06	1.1405682e+02
1.8600000e+02	2.6564848e+06	1.1377764e+02
1.8700000e+02	2.6654158e+06	1.1350197e+02
1.8800000e+02	2.6742403e+06	1.1322978e+02
1.8900000e+02	2.6829598e+06	1.1296101e+02
1.9000000e+02	2.6915757e+06	1.1269560e+02
1.9100000e+02	2.7000894e+06	1.1243351e+02
1.9200000e+02	2.7085025e+06	1.1217469e+02
1.9300000e+02	2.7168162e+06	1.1191909e+02
1.9400000e+02	2.7250320e+06	1.1166665e+02
1.9500000e+02	2.7331514e+06	1.1141734e+02
1.9600000e+02	2.7411757e+06	1.1117111e+02
1.9700000e+02	2.7491063e+06	1.1092791e+02
1.9800000e+02	2.7569447e+06	1.1068768e+02
1.9900000e+02	2.7646921e+06	1.1045039e+02
2.0000000e+02	2.7723501e+06	1.1021599e+02
2.0100000e+02	2.7799199e+06	1.0998442e+02
2.0200000e+02	2.7874028e+06	1.0975565e+02
2.0300000e+02	2.7948004e+06	1.0952964e+02
2.0400000e+02	2.8021138e+06	1.0930634e+02
2.0500000e+02	2.8093445e+06	1.0908571e+02
2.0600000e+02	2.8164937e+06	1.0886773e+02
2.0700000e+02	2.8235628e+06	1.0865234e+02
2.0800000e+02	2.8305530e+06	1.0843951e+02
2.0900000e+02	2.8374656e+06	1.0822919e+02
2.1000000e+02	2.8443020e+06	1.0802136e+02
2.1100000e+02	2.8510634e+06	1.0781597e+02
2.1200000e+02	2.8577510e+06	1.0761298e+02
2.1300000e+02	2.8643661e+06	1.0741235e+02
2.1400000e+02	2.8709098e+06	1.0721405e+02
2.1500000e+02	2.8773835e+06	1.0701805e+02
2.1600000e+02	2.8837883e+06	1.0682430e+02
2.1700000e+02	2.8901255e+06	1.0663277e+02
2.1800000e+02	2.8963961e+06	1.0644344e+02
2.1900000e+02	2.9026014e+06	1.0625626e+02
2.2000000e+02	2.9087425e+06	1.0607120e+02
2.2100000e+02	2.9148205e+06	1.0588824e+02
2.2200000e+02	2.9208366e+06	1.0570734e+02
2.2300000e+02	2.9267919e+06	1.0552846e+02
2.2400000e+02	2.9326874e+06	1.0535159e+02
2.2500000e+02	2.9385243e+06	1.0517668e+02
2.2600000e+02	2.9443036e+06	1.0500371e+02
2.2700000e+02	2.9500263e+06	1.0483264e+02
2.2800000e+02	2.9556936e+06	1.0466345e+02
2.2900000e+02	2.9613064e+06	1.0449611e+02
2.3000000e+02	2.9668657e+06	1.0433060e+02
2.3100000e+02	2.9723726e+06	1.0416689e+02
2.3200000e+02	2.9778280e+06	1.0400496e+02
2.3300000e+02	2.9832329e+06	1.0384478e+02
2.3400000e+02	2.9885882e+06	1.0368631e+02
2.3500000e+02	2.9938948e+06	1.0352953e+02
2.3600000e+02	2.9991538e+06	1.0337440e+02
2.3700000e+02	3.0043659e+06	1.0322090e+02
2.3800000e+02	3.0095321e+06	1.0306899e+02
2.3900000e+02	3.0146533e+06	1.0291867e+02
2.4000000e+02	3.0197303e+06	1.0276992e+02
2.4100000e+02	3.0247640e+06	1.0262271e+02
2.4200000e+02	3.0297552e+06	1.0247703e+02
