---
source: "TiN Data source: thermophysical properties of matter vol.5 curve 1 plus curve 2"
author: "Jia"
---

T (K)	rho_cp (J/m³K)	S (W/mK)
1.6000000e+02	1.8162517e+06	1.6975701e+01
1.6100000e+02	1.8294265e+06	1.7009473e+01
1.6200000e+02	1.8425591e+06	1.7043186e+01
1.6300000e+02	1.8556833e+06	1.7076840e+01
1.6400000e+02	1.8688326e+06	1.7110436e+01
1.6500000e+02	1.8820406e+06	1.7143973e+01
1.6600000e+02	1.8953407e+06	1.7177451e+01
1.6700000e+02	1.9087421e+06	1.7210871e+01
1.6800000e+02	1.9222133e+06	1.7244232e+01
1.6900000e+02	1.9357187e+06	1.7277534e+01
1.7000000e+02	1.9492230e+06	1.7310778e+01
1.7100000e+02	1.9626907e+06	1.7343963e+01
1.7200000e+02	1.9760863e+06	1.7377089e+01
1.7300000e+02	1.9893742e+06	1.7410157e+01
1.7400000e+02	2.0025191e+06	1.7443166e+01
1.7500000e+02	2.0154855e+06	1.7476116e+01
1.7600000e+02	2.0282381e+06	1.7509008e+01
1.7700000e+02	2.0407629e+06	1.7541841e+01
1.7800000e+02	2.0530816e+06	1.7574616e+01
1.7900000e+02	2.0652195e+06	1.7607331e+01
1.8000000e+02	2.0772018e+06	1.7639988e+01
1.8100000e+02	2.0890537e+06	1.7672587e+01
1.8200000e+02	2.1008004e+06	1.7705127e+01
1.8300000e+02	2.1124671e+06	1.7737608e+01
1.8400000e+02	2.1240792e+06	1.7770030e+01
1.8500000e+02	2.1356617e+06	1.7802394e+01
1.8600000e+02	2.1472398e+06	1.7834699e+01
1.8700000e+02	2.1588242e+06	1.7866946e+01
1.8800000e+02	2.1704019e+06	1.7899133e+01
1.8900000e+02	2.1819571e+06	1.7931263e+01
1.9000000e+02	2.1934745e+06	1.7963333e+01
1.9100000e+02	2.2049385e+06	1.7995345e+01
1.9200000e+02	2.2163334e+06	1.8027298e+01
1.9300000e+02	2.2276439e+06	1.8059192e+01
1.9400000e+02	2.2388543e+06	1.8091028e+01
1.9500000e+02	2.2499492e+06	1.8122805e+01
1.9600000e+02	2.2609129e+06	1.8154524e+01
1.9700000e+02	2.2717352e+06	1.8186184e+01
1.9800000e+02	2.2824343e+06	1.8217785e+01
1.9900000e+02	2.2930376e+06	1.8249328e+01
2.0000000e+02	2.3035730e+06	1.8280811e+01
2.0100000e+02	2.3140680e+06	1.8312237e+01
2.0200000e+02	2.3245503e+06	1.8343603e+01
2.0300000e+02	2.3350476e+06	1.8374911e+01
2.0400000e+02	2.3455875e+06	1.8406160e+01
2.0500000e+02	2.3561977e+06	1.8437351e+01
2.0600000e+02	2.3669059e+06	1.8468483e+01
2.0700000e+02	2.3777294e+06	1.8499556e+01
2.0800000e+02	2.3886451e+06	1.8530571e+01
2.0900000e+02	2.3996194e+06	1.8561527e+01
2.1000000e+02	2.4106190e+06	1.8592424e+01
2.1100000e+02	2.4216102e+06	1.8623262e+01
2.1200000e+02	2.4325598e+06	1.8654042e+01
2.1300000e+02	2.4434342e+06	1.8684764e+01
2.1400000e+02	2.4541999e+06	1.8715426e+01
2.1500000e+02	2.4648236e+06	1.8746030e+01
2.1600000e+02	2.4752716e+06	1.8776576e+01
2.1700000e+02	2.4855133e+06	1.8807062e+01
2.1800000e+02	2.4955449e+06	1.8837490e+01
2.1900000e+02	2.5053786e+06	1.8867859e+01
2.2000000e+02	2.5150269e+06	1.8898170e+01
2.2100000e+02	2.5245024e+06	1.8928422e+01
2.2200000e+02	2.5338175e+06	1.8958615e+01
2.2300000e+02	2.5429847e+06	1.8988750e+01
2.2400000e+02	2.5520165e+06	1.9018826e+01
2.2500000e+02	2.5609254e+06	1.9048844e+01
2.2600000e+02	2.5697238e+06	1.9078802e+01
2.2700000e+02	2.5784250e+06	1.9108702e+01
2.2800000e+02	2.5870496e+06	1.9138544e+01
2.2900000e+02	2.5956225e+06	1.9168326e+01
2.3000000e+02	2.6041688e+06	1.9198050e+01
2.3100000e+02	2.6127136e+06	1.9227716e+01
2.3200000e+02	2.6212819e+06	1.9257323e+01
2.3300000e+02	2.6298987e+06	1.9286871e+01
2.3400000e+02	2.6385890e+06	1.9316360e+01
2.3500000e+02	2.6473780e+06	1.9345791e+01
2.3600000e+02	2.6562905e+06	1.9375163e+01
2.3700000e+02	2.6653326e+06	1.9404476e+01
2.3800000e+02	2.6744528e+06	1.9433731e+01
2.3900000e+02	2.6835895e+06	1.9462927e+01
2.4000000e+02	2.6926807e+06	1.9492065e+01
2.4100000e+02	2.7016647e+06	1.9521143e+01
2.4200000e+02	2.7104797e+06	1.9550164e+01
2.4300000e+02	2.7190639e+06	1.9579125e+01
2.4400000e+02	2.7273554e+06	1.9608028e+01
2.4500000e+02	2.7352925e+06	1.9636872e+01
2.4600000e+02	2.7428134e+06	1.9665657e+01
2.4700000e+02	2.7498838e+06	1.9694384e+01
2.4800000e+02	2.7565803e+06	1.9723052e+01
2.4900000e+02	2.7630067e+06	1.9751662e+01
2.5000000e+02	2.7692673e+06	1.9780213e+01
2.5100000e+02	2.7754659e+06	1.9808705e+01
2.5200000e+02	2.7817067e+06	1.9837138e+01
2.5300000e+02	2.7880937e+06	1.9865513e+01
2.5400000e+02	2.7947309e+06	1.9893829e+01
2.5500000e+02	2.8017224e+06	1.9922087e+01
2.5600000e+02	2.8091721e+06	1.9950286e+01
2.5700000e+02	2.8171842e+06	1.9978426e+01
2.5800000e+02	2.8258627e+06	2.0006508e+01
2.5900000e+02	2.8352610e+06	2.0034531e+01
2.6000000e+02	2.8452300e+06	2.0062495e+01
2.6100000e+02	2.8555701e+06	2.0090400e+01
2.6200000e+02	2.8660816e+06	2.0118247e+01
2.6300000e+02	2.8765649e+06	2.0146036e+01
2.6400000e+02	2.8868203e+06	2.0173765e+01
2.6500000e+02	2.8966481e+06	2.0201436e+01
2.6600000e+02	2.9058486e+06	2.0229048e+01
2.6700000e+02	2.9142676e+06	2.0256602e+01
2.6800000e+02	2.9219950e+06	2.0284097e+01
2.6900000e+02	2.9292034e+06	2.0311533e+01
2.7000000e+02	2.9360653e+06	2.0338911e+01
2.7100000e+02	2.9427534e+06	2.0366230e+01
2.7200000e+02	2.9494402e+06	2.0393490e+01
2.7300000e+02	2.9562981e+06	2.0420692e+01
2.7400000e+02	2.9634999e+06	2.0447835e+01
2.7500000e+02	2.9712180e+06	2.0474919e+01
2.7600000e+02	2.9796250e+06	2.0501945e+01
2.7700000e+02	2.9888762e+06	2.0528912e+01
2.7800000e+02	2.9988684e+06	2.0555820e+01
2.7900000e+02	3.0092995e+06	2.0582670e+01
2.8000000e+02	3.0198624e+06	2.0609461e+01
2.8100000e+02	3.0302497e+06	2.0636193e+01
2.8200000e+02	3.0401543e+06	2.0662867e+01
2.8300000e+02	3.0492690e+06	2.0689482e+01
2.8400000e+02	3.0573251e+06	2.0716038e+01
2.8500000e+02	3.0643395e+06	2.0742536e+01
2.8600000e+02	3.0704571e+06	2.0768975e+01
2.8700000e+02	3.0758231e+06	2.0795355e+01
2.8800000e+02	3.0805830e+06	2.0821677e+01
2.8900000e+02	3.0848822e+06	2.0847940e+01
2.9000000e+02	3.0888660e+06	2.0874145e+01
2.9100000e+02	3.0926799e+06	2.0900290e+01
2.9200000e+02	3.0964692e+06	2.0926377e+01
2.9300000e+02	3.1003794e+06	2.0952406e+01
2.9400000e+02	3.1045558e+06	2.0978376e+01
2.9500000e+02	3.1091438e+06	2.1004287e+01
2.9600000e+02	3.1142888e+06	2.1030139e+01
2.9700000e+02	3.1201153e+06	2.1055933e+01
2.9800000e+02	3.1264346e+06	2.1081668e+01
2.9900000e+02	3.1328601e+06	2.1107345e+01
3.0000000e+02	3.1392789e+06	2.1132962e+01
3.0100000e+02	3.1456905e+06	2.1158521e+01
3.0200000e+02	3.1520945e+06	2.1184022e+01
3.0300000e+02	3.1584905e+06	2.1209464e+01
3.0400000e+02	3.1648784e+06	2.1234847e+01
3.0500000e+02	3.1712576e+06	2.1260171e+01
3.0600000e+02	3.1776280e+06	2.1285437e+01
3.0700000e+02	3.1839891e+06	2.1310644e+01
3.0800000e+02	3.1903406e+06	2.1335793e+01
3.0900000e+02	3.1966822e+06	2.1360883e+01
3.1000000e+02	3.2030135e+06	2.1385914e+01
3.1100000e+02	3.2093343e+06	2.1410887e+01
3.1200000e+02	3.2156442e+06	2.1435800e+01
3.1300000e+02	3.2219428e+06	2.1460656e+01
3.1400000e+02	3.2282299e+06	2.1485452e+01
3.1500000e+02	3.2345051e+06	2.1510190e+01
3.1600000e+02	3.2407680e+06	2.1534869e+01
3.1700000e+02	3.2470183e+06	2.1559490e+01
3.1800000e+02	3.2532558e+06	2.1584052e+01
3.1900000e+02	3.2594800e+06	2.1608555e+01
3.2000000e+02	3.2656907e+06	2.1633000e+01
3.2100000e+02	3.2718874e+06	2.1657386e+01
3.2200000e+02	3.2780699e+06	2.1681713e+01
3.2300000e+02	3.2842379e+06	2.1705982e+01
3.2400000e+02	3.2903909e+06	2.1730191e+01
3.2500000e+02	3.2965288e+06	2.1754343e+01
3.2600000e+02	3.3026510e+06	2.1778435e+01
3.2700000e+02	3.3087574e+06	2.1802469e+01
3.2800000e+02	3.3148475e+06	2.1826445e+01
3.2900000e+02	3.3209211e+06	2.1850361e+01
3.3000000e+02	3.3269778e+06	2.1874219e+01
3.3100000e+02	3.3330173e+06	2.1898019e+01
3.3200000e+02	3.3390392e+06	2.1921759e+01
3.3300000e+02	3.3450432e+06	2.1945441e+01
3.3400000e+02	3.3510290e+06	2.1969065e+01
3.3500000e+02	3.3569962e+06	2.1992629e+01
3.3600000e+02	3.3629446e+06	2.2016135e+01
3.3700000e+02	3.3688737e+06	2.2039583e+01
3.3800000e+02	3.3747833e+06	2.2062971e+01
3.3900000e+02	3.3806730e+06	2.2086301e+01
3.4000000e+02	3.3865424e+06	2.2109573e+01
3.4100000e+02	3.3923914e+06	2.2132786e+01
3.4200000e+02	3.3982194e+06	2.2155940e+01
3.4300000e+02	3.4040262e+06	2.2179035e+01
3.4400000e+02	3.4098115e+06	2.2202072e+01
3.4500000e+02	3.4155749e+06	2.2225050e+01
3.4600000e+02	3.4213161e+06	2.2247969e+01
3.4700000e+02	3.4270348e+06	2.2270830e+01
3.4800000e+02	3.4327305e+06	2.2293632e+01
3.4900000e+02	3.4384031e+06	2.2316375e+01
3.5000000e+02	3.4440521e+06	2.2339060e+01
3.5100000e+02	3.4496772e+06	2.2361686e+01
3.5200000e+02	3.4552782e+06	2.2384254e+01
3.5300000e+02	3.4608546e+06	2.2406763e+01
3.5400000e+02	3.4664061e+06	2.2429213e+01
3.5500000e+02	3.4719324e+06	2.2451604e+01
3.5600000e+02	3.4774332e+06	2.2473937e+01
3.5700000e+02	3.4829081e+06	2.2496211e+01
3.5800000e+02	3.4883568e+06	2.2518427e+01
3.5900000e+02	3.4937790e+06	2.2540583e+01
3.6000000e+02	3.4991743e+06	2.2562682e+01
3.6100000e+02	3.5045424e+06	2.2584721e+01
3.6200000e+02	3.5098830e+06	2.2606702e+01
3.6300000e+02	3.5151957e+06	2.2628624e+01
3.6400000e+02	3.5204802e+06	2.2650488e+01
3.6500000e+02	3.5257362e+06	2.2672293e+01
3.6600000e+02	3.5309633e+06	2.2694039e+01
3.6700000e+02	3.5361612e+06	2.2715726e+01
3.6800000e+02	3.5413296e+06	2.2737355e+01
3.6900000e+02	3.5464682e+06	2.2758925e+01
3.7000000e+02	3.5515765e+06	2.2780437e+01
3.7100000e+02	3.5566544e+06	2.2801890e+01
3.7200000e+02	3.5617013e+06	2.2823284e+01
3.7300000e+02	3.5667171e+06	2.2844620e+01
3.7400000e+02	3.5717014e+06	2.2865897e+01
3.7500000e+02	3.5766538e+06	2.2887115e+01
3.7600000e+02	3.5815740e+06	2.2908274e+01
3.7700000e+02	3.5864617e+06	2.2929375e+01
3.7800000e+02	3.5913165e+06	2.2950418e+01
3.7900000e+02	3.5961382e+06	2.2971401e+01
3.8000000e+02	3.6009263e+06	2.2992326e+01
3.8100000e+02	3.6056806e+06	2.3013192e+01
3.8200000e+02	3.6104007e+06	2.3034000e+01
3.8300000e+02	3.6150863e+06	2.3054749e+01
3.8400000e+02	3.6197371e+06	2.3075439e+01
3.8500000e+02	3.6243527e+06	2.3096071e+01
3.8600000e+02	3.6289327e+06	2.3116644e+01
3.8700000e+02	3.6334769e+06	2.3137158e+01
3.8800000e+02	3.6379850e+06	2.3157614e+01
3.8900000e+02	3.6424565e+06	2.3178011e+01
3.9000000e+02	3.6468912e+06	2.3198349e+01
3.9100000e+02	3.6512887e+06	2.3218629e+01
3.9200000e+02	3.6556487e+06	2.3238850e+01
3.9300000e+02	3.6599709e+06	2.3259012e+01
3.9400000e+02	3.6642549e+06	2.3279116e+01
3.9500000e+02	3.6685004e+06	2.3299161e+01
3.9600000e+02	3.6727070e+06	2.3319148e+01
3.9700000e+02	3.6768745e+06	2.3339075e+01
3.9800000e+02	3.6810025e+06	2.3358944e+01
3.9900000e+02	3.6850906e+06	2.3378755e+01
4.0000000e+02	3.6891386e+06	2.3398507e+01
4.0100000e+02	3.6931462e+06	2.3418200e+01
4.0200000e+02	3.6971137e+06	2.3437834e+01
4.0300000e+02	3.7010414e+06	2.3457410e+01
4.0400000e+02	3.7049297e+06	2.3476927e+01
4.0500000e+02	3.7087791e+06	2.3496385e+01
4.0600000e+02	3.7125898e+06	2.3515785e+01
4.0700000e+02	3.7163622e+06	2.3535126e+01
4.0800000e+02	3.7200967e+06	2.3554409e+01
4.0900000e+02	3.7237937e+06	2.3573632e+01
4.1000000e+02	3.7274535e+06	2.3592798e+01
4.1100000e+02	3.7310766e+06	2.3611904e+01
4.1200000e+02	3.7346632e+06	2.3630952e+01
4.1300000e+02	3.7382139e+06	2.3649941e+01
4.1400000e+02	3.7417288e+06	2.3668871e+01
4.1500000e+02	3.7452085e+06	2.3687743e+01
4.1600000e+02	3.7486532e+06	2.3706556e+01
4.1700000e+02	3.7520634e+06	2.3725311e+01
4.1800000e+02	3.7554394e+06	2.3744007e+01
4.1900000e+02	3.7587816e+06	2.3762644e+01
4.2000000e+02	3.7620904e+06	2.3781223e+01
4.2100000e+02	3.7653661e+06	2.3799742e+01
4.2200000e+02	3.7686091e+06	2.3818204e+01
4.2300000e+02	3.7718198e+06	2.3836606e+01
4.2400000e+02	3.7749986e+06	2.3854950e+01
4.2500000e+02	3.7781458e+06	2.3873235e+01
4.2600000e+02	3.7812617e+06	2.3891462e+01
4.2700000e+02	3.7843469e+06	2.3909630e+01
4.2800000e+02	3.7874016e+06	2.3927739e+01
4.2900000e+02	3.7904262e+06	2.3945790e+01
4.3000000e+02	3.7934211e+06	2.3963781e+01
4.3100000e+02	3.7963866e+06	2.3981715e+01
4.3200000e+02	3.7993232e+06	2.3999589e+01
4.3300000e+02	3.8022312e+06	2.4017405e+01
4.3400000e+02	3.8051109e+06	2.4035163e+01
4.3500000e+02	3.8079628e+06	2.4052861e+01
4.3600000e+02	3.8107872e+06	2.4070501e+01
4.3700000e+02	3.8135845e+06	2.4088082e+01
4.3800000e+02	3.8163551e+06	2.4105605e+01
4.3900000e+02	3.8190992e+06	2.4123069e+01
4.4000000e+02	3.8218174e+06	2.4140474e+01
4.4100000e+02	3.8245100e+06	2.4157821e+01
4.4200000e+02	3.8271773e+06	2.4175109e+01
4.4300000e+02	3.8298198e+06	2.4192338e+01
4.4400000e+02	3.8324377e+06	2.4209509e+01
4.4500000e+02	3.8350315e+06	2.4226621e+01
4.4600000e+02	3.8376015e+06	2.4243674e+01
4.4700000e+02	3.8401481e+06	2.4260669e+01
4.4800000e+02	3.8426717e+06	2.4277605e+01
4.4900000e+02	3.8451727e+06	2.4294482e+01
4.5000000e+02	3.8476514e+06	2.4311301e+01
4.5100000e+02	3.8501081e+06	2.4328061e+01
4.5200000e+02	3.8525434e+06	2.4344763e+01
4.5300000e+02	3.8549575e+06	2.4361405e+01
4.5400000e+02	3.8573507e+06	2.4377989e+01
4.5500000e+02	3.8597236e+06	2.4394515e+01
4.5600000e+02	3.8620764e+06	2.4410981e+01
4.5700000e+02	3.8644096e+06	2.4427390e+01
4.5800000e+02	3.8667234e+06	2.4443739e+01
4.5900000e+02	3.8690184e+06	2.4460030e+01
4.6000000e+02	3.8712947e+06	2.4476262e+01
4.6100000e+02	3.8735529e+06	2.4492435e+01
4.6200000e+02	3.8757932e+06	2.4508550e+01
4.6300000e+02	3.8780161e+06	2.4524606e+01
4.6400000e+02	3.8802220e+06	2.4540604e+01
4.6500000e+02	3.8824111e+06	2.4556542e+01
4.6600000e+02	3.8845839e+06	2.4572422e+01
4.6700000e+02	3.8867408e+06	2.4588244e+01
4.6800000e+02	3.8888821e+06	2.4604007e+01
4.6900000e+02	3.8910081e+06	2.4619711e+01
4.7000000e+02	3.8931193e+06	2.4635356e+01
4.7100000e+02	3.8952161e+06	2.4650943e+01
4.7200000e+02	3.8972987e+06	2.4666471e+01
4.7300000e+02	3.8993677e+06	2.4681941e+01
4.7400000e+02	3.9014233e+06	2.4697352e+01
4.7500000e+02	3.9034659e+06	2.4712704e+01
4.7600000e+02	3.9054958e+06	2.4727998e+01
4.7700000e+02	3.9075136e+06	2.4743232e+01
4.7800000e+02	3.9095195e+06	2.4758409e+01
4.7900000e+02	3.9115139e+06	2.4773526e+01
4.8000000e+02	3.9134971e+06	2.4788585e+01
4.8100000e+02	3.9154697e+06	2.4803585e+01
4.8200000e+02	3.9174318e+06	2.4818527e+01
4.8300000e+02	3.9193839e+06	2.4833410e+01
4.8400000e+02	3.9213264e+06	2.4848234e+01
4.8500000e+02	3.9232597e+06	2.4863000e+01
4.8600000e+02	3.9251840e+06	2.4877706e+01
4.8700000e+02	3.9270999e+06	2.4892355e+01
4.8800000e+02	3.9290075e+06	2.4906944e+01
4.8900000e+02	3.9309074e+06	2.4921475e+01
4.9000000e+02	3.9328000e+06	2.4935948e+01
4.9100000e+02	3.9346854e+06	2.4950361e+01
4.9200000e+02	3.9365642e+06	2.4964716e+01
4.9300000e+02	3.9384368e+06	2.4979012e+01
4.9400000e+02	3.9403034e+06	2.4993250e+01
4.9500000e+02	3.9421645e+06	2.5007429e+01
4.9600000e+02	3.9440203e+06	2.5021549e+01
4.9700000e+02	3.9458714e+06	2.5035611e+01
4.9800000e+02	3.9477181e+06	2.5049614e+01
4.9900000e+02	3.9495607e+06	2.5063558e+01
5.0000000e+02	3.9513997e+06	2.5077444e+01
5.0100000e+02	3.9532352e+06	2.5091271e+01
5.0200000e+02	3.9550674e+06	2.5105039e+01
5.0300000e+02	3.9568962e+06	2.5118749e+01
5.0400000e+02	3.9587217e+06	2.5132400e+01
5.0500000e+02	3.9605436e+06	2.5145992e+01
5.0600000e+02	3.9623621e+06	2.5159526e+01
5.0700000e+02	3.9641771e+06	2.5173001e+01
5.0800000e+02	3.9659886e+06	2.5186418e+01
5.0900000e+02	3.9677964e+06	2.5199775e+01
5.1000000e+02	3.9696007e+06	2.5213074e+01
5.1100000e+02	3.9714013e+06	2.5226315e+01
5.1200000e+02	3.9731983e+06	2.5239496e+01
5.1300000e+02	3.9749916e+06	2.5252620e+01
5.1400000e+02	3.9767811e+06	2.5265684e+01
5.1500000e+02	3.9785668e+06	2.5278690e+01
5.1600000e+02	3.9803488e+06	2.5291637e+01
5.1700000e+02	3.9821269e+06	2.5304525e+01
5.1800000e+02	3.9839012e+06	2.5317355e+01
5.1900000e+02	3.9856715e+06	2.5330126e+01
5.2000000e+02	3.9874379e+06	2.5342839e+01
5.2100000e+02	3.9892004e+06	2.5355492e+01
5.2200000e+02	3.9909589e+06	2.5368088e+01
5.2300000e+02	3.9927133e+06	2.5380624e+01
5.2400000e+02	3.9944637e+06	2.5393102e+01
5.2500000e+02	3.9962099e+06	2.5405521e+01
5.2600000e+02	3.9979521e+06	2.5417882e+01
5.2700000e+02	3.9996901e+06	2.5430183e+01
5.2800000e+02	4.0014239e+06	2.5442427e+01
5.2900000e+02	4.0031534e+06	2.5454611e+01
5.3000000e+02	4.0048788e+06	2.5466737e+01
5.3100000e+02	4.0065998e+06	2.5478804e+01
5.3200000e+02	4.0083165e+06	2.5490813e+01
5.3300000e+02	4.0100288e+06	2.5502762e+01
5.3400000e+02	4.0117368e+06	2.5514654e+01
5.3500000e+02	4.0134403e+06	2.5526486e+01
5.3600000e+02	4.0151394e+06	2.5538260e+01
5.3700000e+02	4.0168340e+06	2.5549975e+01
5.3800000e+02	4.0185241e+06	2.5561632e+01
5.3900000e+02	4.0202096e+06	2.5573230e+01
5.4000000e+02	4.0218906e+06	2.5584769e+01
5.4100000e+02	4.0235669e+06	2.5596250e+01
5.4200000e+02	4.0252386e+06	2.5607672e+01
5.4300000e+02	4.0269056e+06	2.5619035e+01
5.4400000e+02	4.0285679e+06	2.5630339e+01
5.4500000e+02	4.0302254e+06	2.5641585e+01
5.4600000e+02	4.0318782e+06	2.5652773e+01
5.4700000e+02	4.0335261e+06	2.5663901e+01
5.4800000e+02	4.0351692e+06	2.5674971e+01
5.4900000e+02	4.0368074e+06	2.5685983e+01
5.5000000e+02	4.0384408e+06	2.5696935e+01
5.5100000e+02	4.0400691e+06	2.5707829e+01
5.5200000e+02	4.0416925e+06	2.5718664e+01
5.5300000e+02	4.0433109e+06	2.5729441e+01
5.5400000e+02	4.0449243e+06	2.5740159e+01
5.5500000e+02	4.0465326e+06	2.5750818e+01
5.5600000e+02	4.0481358e+06	2.5761419e+01
5.5700000e+02	4.0497338e+06	2.5771961e+01
5.5800000e+02	4.0513267e+06	2.5782444e+01
5.5900000e+02	4.0529144e+06	2.5792869e+01
5.6000000e+02	4.0544968e+06	2.5803235e+01
5.6100000e+02	4.0560740e+06	2.5813543e+01
5.6200000e+02	4.0576458e+06	2.5823791e+01
5.6300000e+02	4.0592124e+06	2.5833981e+01
5.6400000e+02	4.0607735e+06	2.5844113e+01
5.6500000e+02	4.0623293e+06	2.5854185e+01
5.6600000e+02	4.0638796e+06	2.5864200e+01
5.6700000e+02	4.0654245e+06	2.5874155e+01
5.6800000e+02	4.0669639e+06	2.5884052e+01
5.6900000e+02	4.0684978e+06	2.5893890e+01
5.7000000e+02	4.0700260e+06	2.5903669e+01
5.7100000e+02	4.0715487e+06	2.5913390e+01
